,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,100000.0,10,Unbalanced,Logistic Regression,0.97375,0.9790668209111442,0.9919075789708672,0.9854453716281777,0.9046953841059907
1,0.1,100000.0,10,Unbalanced,Random Forest,0.9866,0.9892991794189399,0.9958142649849313,0.9925460310396618,0.9515574687076434
2,0.1,100000.0,10,Unbalanced,XGboost,0.98685,0.9896821434514894,0.9957026453845296,0.9926832661009877,0.9531827347960111
3,0.1,100000.0,10,ADASYN,Logistic Regression,0.7983,0.9955032119914347,0.7783792834021654,0.873653219744425,0.8740599587039647
4,0.1,100000.0,10,ADASYN,Random Forest,0.97325,0.9939755612389883,0.9760575957138073,0.9849350941908598,0.9625725058300065
5,0.1,100000.0,10,ADASYN,XGboost,0.9381,0.9950142450142451,0.9355954905681437,0.9643904964620607,0.9476248346212476
6,0.1,100000.0,10,RandomOverSampler,Logistic Regression,0.94325,0.9926613045265074,0.9436321017970756,0.9675259649223199,0.9417968386026685
7,0.1,100000.0,10,RandomOverSampler,Random Forest,0.98705,0.9913740330569314,0.9941957807791049,0.9927829018864771,0.9598740671426744
8,0.1,100000.0,10,RandomOverSampler,XGboost,0.9834,0.9933236086175943,0.988112512557205,0.9907112081025125,0.9654779661729348
9,0.1,100000.0,10,SMOTE,Logistic Regression,0.9467,0.9924029920523609,0.9477620270119433,0.9695689409077934,0.9426610327182675
10,0.1,100000.0,10,SMOTE,Random Forest,0.9855,0.9934497816593887,0.9903449045652416,0.9918949133594187,0.9670744695736871
11,0.1,100000.0,10,SMOTE,XGboost,0.98105,0.9936947587682261,0.9850987833463556,0.9893781003895631,0.9656521774560789
12,0.1,100000.0,10,BorderlineSMOTE,Logistic Regression,0.8885,0.9950770007573845,0.8798973099676303,0.933949410579942,0.9212166665111927
13,0.1,100000.0,10,BorderlineSMOTE,Random Forest,0.9842,0.9934402332361516,0.9888938497600178,0.9911618280472115,0.9663489421710753
14,0.1,100000.0,10,BorderlineSMOTE,XGboost,0.97885,0.994684159927614,0.9816385757338989,0.988118311283391,0.9682448402204558
15,0.07,100000.0,10,Unbalanced,Logistic Regression,0.97625,0.9800894378194208,0.9945437847766193,0.9872637082718863,0.8716842496750793
16,0.07,100000.0,10,Unbalanced,Random Forest,0.9876,0.9898085072145041,0.996866727891524,0.9933250793992572,0.9346321550807519
17,0.07,100000.0,10,Unbalanced,XGboost,0.98705,0.9899076658793214,0.996164442763762,0.9930261988744984,0.9349526041891343
18,0.07,100000.0,10,ADASYN,Logistic Regression,0.7709,0.9946729171105902,0.7565231483982496,0.8594047253758821,0.8530768864892524
19,0.07,100000.0,10,ADASYN,Random Forest,0.97135,0.9935615232225402,0.9753659985954297,0.9843796854128615,0.9483948864703139
20,0.07,100000.0,10,ADASYN,XGboost,0.9329,0.9942995335982034,0.9328507373993842,0.9625954624003568,0.9331815809226606
21,0.07,100000.0,10,RandomOverSampler,Logistic Regression,0.93205,0.9925904652498564,0.933553022527146,0.962166977534033,0.9234588484025924
22,0.07,100000.0,10,RandomOverSampler,Random Forest,0.9873,0.9909643414188135,0.9953541137701907,0.993154376886589,0.9412633564149812
23,0.07,100000.0,10,RandomOverSampler,XGboost,0.982,0.9935824223636265,0.9869266922370482,0.9902433736245866,0.9538394374549914
24,0.07,100000.0,10,SMOTE,Logistic Regression,0.9354,0.9924498083852885,0.9373345578304791,0.9641051286325498,0.9243422285458641
25,0.07,100000.0,10,SMOTE,Random Forest,0.9838,0.9928993441378936,0.9895737669493815,0.9912337662337662,0.9507976289414469
26,0.07,100000.0,10,SMOTE,XGboost,0.97865,0.9935589519650655,0.9833072227324293,0.9884065053894816,0.9520297027026821
27,0.07,100000.0,10,BorderlineSMOTE,Logistic Regression,0.88325,0.9944369727350532,0.87877478256172,0.9330350741346182,0.9088299701928816
28,0.07,100000.0,10,BorderlineSMOTE,Random Forest,0.98305,0.9933217504615051,0.988331262492572,0.990820222589293,0.9528627434020952
29,0.07,100000.0,10,BorderlineSMOTE,XGboost,0.9762,0.9939742536291427,0.9802279725568581,0.9870532557253985,0.9531764443039495
30,0.05,100000.0,10,Unbalanced,Logistic Regression,0.98195,0.983674108074275,0.9974612577352303,0.9905197090259722,0.8555467313378804
31,0.05,100000.0,10,Unbalanced,Random Forest,0.989,0.9902922810515821,0.9981488337652721,0.9942050363502265,0.9144449566813551
32,0.05,100000.0,10,Unbalanced,XGboost,0.98805,0.9900251994960101,0.9974083672713809,0.9937030694243183,0.9117874407262667
33,0.05,100000.0,10,ADASYN,Logistic Regression,0.763,0.9952457526393065,0.752895752895753,0.8572719060523939,0.8453408316171355
34,0.05,100000.0,10,ADASYN,Random Forest,0.97385,0.9935037044990873,0.9787380335325541,0.9860655956091972,0.934016775229223
35,0.05,100000.0,10,ADASYN,XGboost,0.92305,0.9948148148148148,0.9234146083461152,0.9577858847409277,0.92007875888486
36,0.05,100000.0,10,RandomOverSampler,Logistic Regression,0.93135,0.9938598467778279,0.9331464536943989,0.9625467143129928,0.916710463809688
37,0.05,100000.0,10,RandomOverSampler,Random Forest,0.989,0.9910653282177958,0.9973554768075316,0.9942004534190964,0.9209101263269132
38,0.05,100000.0,10,RandomOverSampler,XGboost,0.98475,0.9938933729821581,0.9899508118686201,0.9919181748324015,0.9423679036470274
39,0.05,100000.0,10,SMOTE,Logistic Regression,0.93545,0.9937773292970064,0.9375892526577458,0.9648659681589332,0.9180169502081044
40,0.05,100000.0,10,SMOTE,Random Forest,0.9847,0.993107470441652,0.9906912783625113,0.9918979029866554,0.9358762887695448
41,0.05,100000.0,10,SMOTE,XGboost,0.97945,0.9937006192611574,0.9845030940921352,0.9890804750391881,0.9382716751338992
42,0.05,100000.0,10,BorderlineSMOTE,Logistic Regression,0.8981,0.9949533478082272,0.8967578145660338,0.9433069989985534,0.909037644702962
43,0.05,100000.0,10,BorderlineSMOTE,Random Forest,0.9864,0.9928590320021159,0.9927540064526366,0.9928065164498042,0.9346203701064646
44,0.05,100000.0,10,BorderlineSMOTE,XGboost,0.981,0.9942905928178859,0.9855609033691225,0.9899065023374415,0.943832601730307
45,0.025,100000.0,10,Unbalanced,Logistic Regression,0.9858,0.9869587366276108,0.998556849809298,0.9927239188358271,0.7852316021621741
46,0.025,100000.0,10,Unbalanced,Random Forest,0.98995,0.9911997953440778,0.9985053087310587,0.9948391403702468,0.8554399453354289
47,0.025,100000.0,10,Unbalanced,XGboost,0.9902,0.991453428863869,0.9985053087310587,0.9949668738123364,0.859620547342118
48,0.025,100000.0,10,ADASYN,Logistic Regression,0.7382,0.9942777390090719,0.7343572827543552,0.8447764733783943,0.7986167684674785
49,0.025,100000.0,10,ADASYN,Random Forest,0.97205,0.993401413982718,0.9776827131223585,0.98547938800426,0.8834901859926174
50,0.025,100000.0,10,ADASYN,XGboost,0.9179,0.9941569282136895,0.9207813627461087,0.9560633629455207,0.872598039232586
51,0.025,100000.0,10,RandomOverSampler,Logistic Regression,0.90405,0.9941213046181674,0.9064529429955674,0.9482651713261262,0.8662699497586533
52,0.025,100000.0,10,RandomOverSampler,Random Forest,0.9901,0.9916538658474142,0.9981960622616225,0.9949142093907325,0.8628104057127512
53,0.025,100000.0,10,RandomOverSampler,XGboost,0.983,0.9935784567581564,0.9888671271002989,0.9912171936350486,0.8907546337842632
54,0.025,100000.0,10,SMOTE,Logistic Regression,0.9078,0.9940348902644908,0.9104216060199979,0.9503927687506725,0.866582040468193
55,0.025,100000.0,10,SMOTE,Random Forest,0.9823,0.9932670395690906,0.9884547984743841,0.9908550762076983,0.885531747063279
56,0.025,100000.0,10,SMOTE,XGboost,0.9715,0.9937080536912751,0.9768065147922894,0.9851848001247595,0.8880688092356097
57,0.025,100000.0,10,BorderlineSMOTE,Logistic Regression,0.91185,0.9943388823496441,0.9143387279661891,0.9526622452541417,0.8727212034479774
58,0.025,100000.0,10,BorderlineSMOTE,Random Forest,0.98715,0.9931482149296791,0.9936089062983198,0.9933785072011956,0.8856004397712336
59,0.025,100000.0,10,BorderlineSMOTE,XGboost,0.9828,0.9936282635723166,0.9886094217091022,0.9911124890197902,0.8914619014900026
60,0.01,100000.0,10,Unbalanced,Logistic Regression,0.9904,0.9903473932934493,1.0,0.9951502904773933,0.6810631229235881
61,0.01,100000.0,10,Unbalanced,Random Forest,0.9919,0.9921902554542248,0.9996446520127925,0.9959035047792444,0.7423472429499178
62,0.01,100000.0,10,Unbalanced,XGboost,0.99205,0.9925388183101431,0.9994415960201025,0.9959782471228026,0.753873621930317
63,0.01,100000.0,10,ADASYN,Logistic Regression,0.69895,0.9952208544532947,0.6977003908827859,0.8203169297800591,0.7392156439463763
64,0.01,100000.0,10,ADASYN,Random Forest,0.9763,0.9939873580348425,0.9818772526524189,0.9878951938301241,0.7965864668577709
65,0.01,100000.0,10,ADASYN,XGboost,0.9095,0.9944171134818418,0.9132443271232042,0.9521037311458058,0.7888480771828645
66,0.01,100000.0,10,RandomOverSampler,Logistic Regression,0.8459,0.9951135212442643,0.8477080054825118,0.9155153508771929,0.7876413781565383
67,0.01,100000.0,10,RandomOverSampler,Random Forest,0.99195,0.9923394819070658,0.9995431240164475,0.9959282769783262,0.7472798676560642
68,0.01,100000.0,10,RandomOverSampler,XGboost,0.9838,0.9941341494516704,0.9893903243819483,0.9917565642173825,0.8036652618587482
69,0.01,100000.0,10,SMOTE,Logistic Regression,0.8492,0.9952502523303449,0.8509569013655516,0.9174648349844015,0.7925880852342708
70,0.01,100000.0,10,SMOTE,Random Forest,0.9801,0.9939601781235604,0.9857860805117011,0.9898562544601897,0.7968797512193058
71,0.01,100000.0,10,SMOTE,XGboost,0.9515,0.9944036745683966,0.9561399055789634,0.974896480331263,0.8019902185702126
72,0.01,100000.0,10,BorderlineSMOTE,Logistic Regression,0.9036,0.9949863517352794,0.9066957713589522,0.9487915006640105,0.8038462245499081
73,0.01,100000.0,10,BorderlineSMOTE,Random Forest,0.9898,0.9936192839418646,0.9960404081425454,0.9948283729655732,0.7887178784898773
74,0.01,100000.0,10,BorderlineSMOTE,XGboost,0.98555,0.9941446028513238,0.9911670643179857,0.992653600752434,0.804553631826767
