,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,10,Unbalanced,Decision Tree,0.9705,0.9870786516853932,0.9799219185722253,0.9834872656031346,0.9344054037305571
1,0.1,10000.0,10,ADASYN,Decision Tree,0.9435,0.9929577464788732,0.9436698271054099,0.9676865885044323,0.942849406306328
2,0.1,10000.0,10,RandomOverSampler,Decision Tree,0.974,0.9854991634132738,0.9854991634132738,0.9854991634132738,0.9299476493394873
3,0.1,10000.0,10,SMOTE,Decision Tree,0.958,0.9896848137535816,0.9631901840490797,0.9762577727529678,0.9381168311549747
4,0.1,10000.0,10,BorderlineSMOTE,Decision Tree,0.9595,0.9869169510807736,0.9676519799219185,0.9771895240777245,0.9282704344054037
5,0.1,10000.0,10,SVMSMOTE,Decision Tree,0.9715,0.9909502262443439,0.9771332961517011,0.9839932603201347,0.9499193050806815
6,0.1,10000.0,30,Unbalanced,Decision Tree,0.9525,0.9701162147205312,0.9771460423634337,0.9736184393224104,0.8575050600166683
7,0.1,10000.0,30,ADASYN,Decision Tree,0.923,0.970723306544202,0.9425863991081382,0.9564479638009049,0.8475067917870789
8,0.1,10000.0,30,RandomOverSampler,Decision Tree,0.945,0.9667405764966741,0.9721293199554069,0.9694274596998332,0.8404335920165383
9,0.1,10000.0,30,SMOTE,Decision Tree,0.9305,0.9747561675272519,0.9470457079152731,0.9607011591744415,0.8667267374527822
10,0.1,10000.0,30,BorderlineSMOTE,Decision Tree,0.93,0.9698863636363636,0.9515050167224081,0.9606077658975801,0.8471117316621749
11,0.1,10000.0,30,SVMSMOTE,Decision Tree,0.9365,0.977650429799427,0.9509476031215162,0.9641141565413959,0.8808136073860007
12,0.1,10000.0,50,Unbalanced,Decision Tree,0.9515,0.9742729306487695,0.9715560513106526,0.9729125942474169,0.8746669145442152
13,0.1,10000.0,50,ADASYN,Decision Tree,0.9335,0.9721274175199089,0.9531511433351925,0.9625457617572515,0.858218083744891
14,0.1,10000.0,50,RandomOverSampler,Decision Tree,0.952,0.9685256764218664,0.9782487451199108,0.9733629300776916,0.8514432131396655
15,0.1,10000.0,50,SMOTE,Decision Tree,0.9425,0.9777904328018223,0.9576129392080313,0.9675965060580446,0.884603571053291
16,0.1,10000.0,50,BorderlineSMOTE,Decision Tree,0.946,0.9719887955182073,0.9676519799219185,0.9698155394074902,0.8630530431010559
17,0.1,10000.0,50,SVMSMOTE,Decision Tree,0.944,0.978917378917379,0.9581706636921361,0.9684329199549041,0.8897133511697395
18,0.1,50000.0,10,Unbalanced,Decision Tree,0.9846,0.9913014386082302,0.9915225878416063,0.9914120008922596,0.9580801345005133
19,0.1,50000.0,10,ADASYN,Decision Tree,0.9529,0.9920064874884152,0.9551589514779699,0.9732340739898847,0.9442461424056516
20,0.1,50000.0,10,RandomOverSampler,Decision Tree,0.983,0.991176142075282,0.9898494143892916,0.9905123339658443,0.9567604559869164
21,0.1,50000.0,10,SMOTE,Decision Tree,0.97,0.9931701764371087,0.9732292247629671,0.9830985915492958,0.9576291051351068
22,0.1,50000.0,10,BorderlineSMOTE,Decision Tree,0.9838,0.9920626048071548,0.9898494143892916,0.9909547738693466,0.9606251902864333
23,0.1,50000.0,10,SVMSMOTE,Decision Tree,0.9828,0.9940442746375997,0.9867261572783045,0.990371697268249,0.9677592139048526
24,0.1,50000.0,30,Unbalanced,Decision Tree,0.9664,0.982756690180271,0.9796852327268668,0.9812185578535495,0.9158752772664113
25,0.1,50000.0,30,ADASYN,Decision Tree,0.939,0.984,0.947315548610336,0.9653093721565059,0.9073753535558885
26,0.1,50000.0,30,RandomOverSampler,Decision Tree,0.966,0.9797395079594791,0.9823641031365108,0.9810500501616319,0.9037661053626839
27,0.1,50000.0,30,SMOTE,Decision Tree,0.9578,0.9865496409438048,0.9660676414778435,0.9762012181367019,0.9263575479243203
28,0.1,50000.0,30,BorderlineSMOTE,Decision Tree,0.9625,0.9846431797651309,0.9733229155039625,0.9789503227617178,0.9213396517961696
29,0.1,50000.0,30,SVMSMOTE,Decision Tree,0.9541,0.9824063564131669,0.9660676414778435,0.9741684956947493,0.9085861742451657
30,0.1,50000.0,50,Unbalanced,Decision Tree,0.9564,0.9751448952296032,0.9762329837089935,0.9756886361101818,0.8806983801011248
31,0.1,50000.0,50,ADASYN,Decision Tree,0.9234,0.9788501986445431,0.9347243918768132,0.9562785388127854,0.8801752980578672
32,0.1,50000.0,50,RandomOverSampler,Decision Tree,0.9598,0.9765085727009575,0.9786877929033698,0.9775969683459652,0.8877061315191224
33,0.1,50000.0,50,SMOTE,Decision Tree,0.9437,0.9835348301669545,0.9531354608346351,0.9680965603218677,0.9076852641360073
34,0.1,50000.0,50,BorderlineSMOTE,Decision Tree,0.95,0.9811234932908801,0.9627315331399241,0.9718405046181572,0.9014043022154341
35,0.1,50000.0,50,SVMSMOTE,Decision Tree,0.9439,0.9763011679328722,0.96072305288998,0.9684494685338284,0.8796871526492289
36,0.1,100000.0,10,Unbalanced,Decision Tree,0.9723,0.9848112575385303,0.9842616363433419,0.9845363702339083,0.9268090122158592
37,0.1,100000.0,10,ADASYN,Decision Tree,0.93905,0.9881321251096171,0.94329724299587,0.965194300887988,0.9228974207294431
38,0.1,100000.0,10,RandomOverSampler,Decision Tree,0.97365,0.9847260159429176,0.9858801205491684,0.985302730289762,0.9271379469220385
39,0.1,100000.0,10,SMOTE,Decision Tree,0.9569,0.9895522388059701,0.9620493358633776,0.9756069953025072,0.9373166948289029
40,0.1,100000.0,10,BorderlineSMOTE,Decision Tree,0.96965,0.9874415723376696,0.9785690367228486,0.9829852838121934,0.9357302436255934
41,0.1,100000.0,10,SVMSMOTE,Decision Tree,0.9702,0.9894879620210241,0.9771179819176248,0.9832640682915871,0.9438904030625588
42,0.1,100000.0,30,Unbalanced,Decision Tree,0.9621,0.9807843137254902,0.9768441022207343,0.978810242647881,0.90589077103337
43,0.1,100000.0,30,ADASYN,Decision Tree,0.9319,0.9840972871842844,0.9391808949893985,0.9611146005824245,0.9041429017776637
