,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,10,Unbalanced,Random Forest,0.9885,0.9900332225913622,0.9972113775794758,0.9936093359266464,0.9551274279201727
1,0.1,10000.0,10,ADASYN,Random Forest,0.967,0.9942759015455066,0.9687674288901282,0.9813559322033898,0.9602291250730834
2,0.1,10000.0,10,RandomOverSampler,Random Forest,0.9885,0.9905764966740577,0.9966536530953709,0.9936057825966083,0.9572640246153183
3,0.1,10000.0,10,SMOTE,Random Forest,0.9855,0.9943946188340808,0.9894032348020078,0.9918926474699469,0.9705470280290233
4,0.1,10000.0,10,BorderlineSMOTE,Random Forest,0.982,0.9932622122403144,0.9866146123814835,0.9899272523782876,0.964321798944365
5,0.1,10000.0,10,SVMSMOTE,Random Forest,0.9845,0.9932810750279956,0.9894032348020078,0.9913383626711372,0.9657161101546271
6,0.1,10000.0,30,Unbalanced,Random Forest,0.967,0.9655172413793104,0.9988851727982163,0.9819178082191781,0.8441027805738655
7,0.1,10000.0,30,ADASYN,Random Forest,0.9755,0.9893438025799215,0.9832775919732442,0.9863013698630138,0.9455222911322532
8,0.1,10000.0,30,RandomOverSampler,Random Forest,0.9695,0.9711799891245242,0.9955406911928651,0.9832094687586017,0.8691295688974034
9,0.1,10000.0,30,SMOTE,Random Forest,0.9775,0.9855635757912271,0.9894091415830546,0.9874826147426982,0.9315977746750225
10,0.1,10000.0,30,BorderlineSMOTE,Random Forest,0.9735,0.9865846841811068,0.9838350055741361,0.9852079263187273,0.933665075602602
11,0.1,10000.0,30,SVMSMOTE,Random Forest,0.9745,0.9838978345363687,0.987736900780379,0.9858136300417245,0.9234801008756266
12,0.1,10000.0,50,Unbalanced,Random Forest,0.979,0.977632296781233,0.9994422755158952,0.9884169884169884,0.9006873213328268
13,0.1,10000.0,50,ADASYN,Random Forest,0.9905,0.9916851441241685,0.9977691020635806,0.9947178204058938,0.9626526669738192
14,0.1,10000.0,50,RandomOverSampler,Random Forest,0.987,0.9862410566868465,0.9994422755158952,0.992797783933518,0.9393346643279958
15,0.1,10000.0,50,SMOTE,Random Forest,0.9905,0.9916851441241685,0.9977691020635806,0.9947178204058938,0.9626526669738192
16,0.1,10000.0,50,BorderlineSMOTE,Random Forest,0.99,0.9905921416712784,0.9983268265476855,0.9944444444444445,0.9581006113414755
17,0.1,10000.0,50,SVMSMOTE,Random Forest,0.991,0.9922351636161952,0.9977691020635806,0.9949944382647385,0.9650681259110174
18,0.1,50000.0,10,Unbalanced,Random Forest,0.9921,0.9930093209054593,0.9982152816508645,0.9956054959114424,0.9686728582167365
19,0.1,50000.0,10,ADASYN,Random Forest,0.978,0.9940119760479041,0.9813720022308979,0.987651549169286,0.9650821363811495
20,0.1,50000.0,10,RandomOverSampler,Random Forest,0.9922,0.9937770863429269,0.9975460122699387,0.9956579826319305,0.971719866038351
21,0.1,50000.0,10,SMOTE,Random Forest,0.9914,0.9938814106129714,0.9965421081985499,0.9952099810627157,0.9717010057900962
22,0.1,50000.0,10,BorderlineSMOTE,Random Forest,0.9913,0.9938807298620382,0.996430563301729,0.9951540132568373,0.9716452333416857
23,0.1,50000.0,10,SVMSMOTE,Random Forest,0.9898,0.9940907570520683,0.9945343000557725,0.9943124790899968,0.9716632852935866
24,0.1,50000.0,30,Unbalanced,Random Forest,0.9877,0.9876379690949227,0.9987721843955799,0.9931738720239746,0.945591663763592
25,0.1,50000.0,30,ADASYN,Random Forest,0.989,0.9927608865129747,0.9949771179819176,0.9938677667521462,0.9662685782032546
26,0.1,50000.0,30,RandomOverSampler,Random Forest,0.9888,0.9889466121366198,0.9986605647951781,0.9937798511607242,0.951299542724198
27,0.1,50000.0,30,SMOTE,Random Forest,0.9904,0.9924436048449827,0.9968746511887487,0.9946541931172737,0.9657764226164686
28,0.1,50000.0,30,BorderlineSMOTE,Random Forest,0.9898,0.9915639915639916,0.9970978903895524,0.9943232413178985,0.9620455830429991
29,0.1,50000.0,30,SVMSMOTE,Random Forest,0.9903,0.9927713523131673,0.9964281727871415,0.9945964013146901,0.9669941056058666
30,0.1,50000.0,50,Unbalanced,Random Forest,0.9851,0.9842839872513462,0.999330506583352,0.9917501799457394,0.9307827870103658
31,0.1,50000.0,50,ADASYN,Random Forest,0.9908,0.992996887505558,0.9967641151528677,0.9948769350707207,0.9680352367671853
32,0.1,50000.0,50,RandomOverSampler,Random Forest,0.9885,0.9881911488798146,0.9991073421111359,0.9936192642734284,0.9480122452366855
33,0.1,50000.0,50,SMOTE,Random Forest,0.9921,0.9926788685524126,0.9985494309305959,0.9956054959114423,0.967482807950847
34,0.1,50000.0,50,BorderlineSMOTE,Random Forest,0.9912,0.9925621669626998,0.9976567730417317,0.9951029493600444,0.9665547834380142
35,0.1,50000.0,50,SVMSMOTE,Random Forest,0.9896,0.9911288534043025,0.9973220263334077,0.9942157953281424,0.9601253676946421
36,0.1,100000.0,10,Unbalanced,Random Forest,0.9866,0.9892991794189399,0.9958142649849313,0.9925460310396618,0.9515574687076434
37,0.1,100000.0,10,ADASYN,Random Forest,0.97325,0.9939755612389883,0.9760575957138073,0.9849350941908598,0.9625725058300065
38,0.1,100000.0,10,RandomOverSampler,Random Forest,0.98705,0.9913740330569314,0.9941957807791049,0.9927829018864771,0.9598740671426744
39,0.1,100000.0,10,SMOTE,Random Forest,0.9855,0.9934497816593887,0.9903449045652416,0.9918949133594187,0.9670744695736871
