,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,10,Unbalanced,XGboost,0.989,0.9911259012756517,0.9966536530953709,0.9938820912124583,0.9596794835525163
1,0.1,10000.0,10,ADASYN,XGboost,0.9605,0.994232987312572,0.9615170105967652,0.9776013609299687,0.9566039159264019
2,0.1,10000.0,10,RandomOverSampler,XGboost,0.988,0.993858179787828,0.992749581706637,0.9933035714285713,0.9698047425441397
3,0.1,10000.0,10,SMOTE,XGboost,0.9835,0.9932735426008968,0.9882877858337981,0.9907743919485602,0.9651583856705223
4,0.1,10000.0,10,BorderlineSMOTE,XGboost,0.979,0.9937958262831359,0.9827105409927496,0.9882220975883342,0.9647852221871961
5,0.1,10000.0,10,SVMSMOTE,XGboost,0.982,0.9927089175546832,0.9871723368655884,0.9899328859060403,0.9621852022492193
6,0.1,10000.0,30,Unbalanced,XGboost,0.983,0.9835164835164835,0.9977703455964325,0.9905921416712783,0.9260696388176337
7,0.1,10000.0,30,ADASYN,XGboost,0.98,0.9899441340782122,0.987736900780379,0.9888392857142857,0.9501791300018401
8,0.1,10000.0,30,RandomOverSampler,XGboost,0.982,0.9840308370044053,0.9960981047937569,0.990027700831025,0.9276607028823154
9,0.1,10000.0,30,SMOTE,XGboost,0.9825,0.9883398112159911,0.992196209587514,0.9902642559109875,0.9451272310073492
10,0.1,10000.0,30,BorderlineSMOTE,XGboost,0.981,0.9899553571428571,0.9888517279821628,0.9894032348020078,0.950736543602732
11,0.1,10000.0,30,SVMSMOTE,XGboost,0.981,0.9888641425389755,0.9899665551839465,0.9894150417827299,0.9464395882715849
12,0.1,10000.0,50,Unbalanced,XGboost,0.9905,0.9900552486187846,0.9994422755158952,0.9947266167082986,0.9562428768883824
13,0.1,10000.0,50,ADASYN,XGboost,0.991,0.9944289693593314,0.9955382041271612,0.9949832775919731,0.9736145126915999
14,0.1,10000.0,50,RandomOverSampler,XGboost,0.9905,0.9905973451327433,0.9988845510317903,0.9947236878644821,0.9583794735835279
15,0.1,10000.0,50,SMOTE,XGboost,0.9925,0.9944382647385984,0.9972113775794758,0.9958228905597326,0.9744510994177572
16,0.1,10000.0,50,BorderlineSMOTE,XGboost,0.9915,0.9927857935627081,0.9977691020635806,0.9952712100139083,0.9674835848482153
17,0.1,10000.0,50,SVMSMOTE,XGboost,0.9945,0.995,0.9988845510317903,0.9969384915112719,0.9777031450811126
18,0.1,50000.0,10,Unbalanced,XGboost,0.9922,0.9934480843975569,0.9978806469604016,0.9956594323873122,0.9704379080212637
19,0.1,50000.0,10,ADASYN,XGboost,0.9482,0.9943813648601194,0.9475738984941439,0.9704135252456019,0.9505985434499703
20,0.1,50000.0,10,RandomOverSampler,XGboost,0.9921,0.9942157953281424,0.9969882877858338,0.995600111389585,0.973373370946057
21,0.1,50000.0,10,SMOTE,XGboost,0.9899,0.9942016057091883,0.9945343000557725,0.994367925054369,0.9721463770810264
22,0.1,50000.0,10,BorderlineSMOTE,XGboost,0.9901,0.994092732946946,0.9948689347462354,0.9944806823883592,0.9718306026388182
23,0.1,50000.0,10,SVMSMOTE,XGboost,0.9892,0.9945281965382468,0.9934188510875628,0.9939732142857143,0.9730379279592404
24,0.1,50000.0,30,Unbalanced,XGboost,0.9922,0.9923494844217763,0.9989954235963835,0.9956613638891979,0.966356501423552
25,0.1,50000.0,30,ADASYN,XGboost,0.9851,0.9939448306795245,0.9893961379618261,0.9916652682217374,0.9687614695572818
26,0.1,50000.0,30,RandomOverSampler,XGboost,0.9922,0.9935534066911192,0.9977676079919634,0.9956560481176208,0.9710259749854149
27,0.1,50000.0,30,SMOTE,XGboost,0.9912,0.9935462334483143,0.996651411987945,0.9950964003120473,0.9704678769834058
28,0.1,50000.0,30,BorderlineSMOTE,XGboost,0.9917,0.9937694704049844,0.9969862707891506,0.995375271633142,0.9715959211774764
29,0.1,50000.0,30,SVMSMOTE,XGboost,0.9923,0.994103248776146,0.997321129590356,0.9957095893464089,0.9732042727682808
30,0.1,50000.0,50,Unbalanced,XGboost,0.9922,0.9921338355860846,0.9992189243472439,0.995663775850567,0.9654090768171674
31,0.1,50000.0,50,ADASYN,XGboost,0.9906,0.994314381270903,0.9952019638473555,0.9947579745706,0.9730345079352385
32,0.1,50000.0,50,RandomOverSampler,XGboost,0.9939,0.9943352215928024,0.9988841776389199,0.9966045087670471,0.9748756148310206
33,0.1,50000.0,50,SMOTE,XGboost,0.9927,0.993888209801089,0.9979915197500558,0.9959356383274874,0.9725025036129854
34,0.1,50000.0,50,BorderlineSMOTE,XGboost,0.9929,0.993999333259251,0.9981031019861638,0.9960469907020767,0.9730399902994403
35,0.1,50000.0,50,SVMSMOTE,XGboost,0.9928,0.9943282918149466,0.9976567730417317,0.99598975158739,0.9742619125324266
36,0.1,100000.0,10,Unbalanced,XGboost,0.98685,0.9896821434514894,0.9957026453845296,0.9926832661009877,0.9531827347960111
37,0.1,100000.0,10,ADASYN,XGboost,0.9381,0.9950142450142451,0.9355954905681437,0.9643904964620607,0.9476248346212476
38,0.1,100000.0,10,RandomOverSampler,XGboost,0.9834,0.9933236086175943,0.988112512557205,0.9907112081025125,0.9654779661729348
39,0.1,100000.0,10,SMOTE,XGboost,0.98105,0.9936947587682261,0.9850987833463556,0.9893781003895631,0.9656521774560789
40,0.1,100000.0,10,BorderlineSMOTE,XGboost,0.97885,0.994684159927614,0.9816385757338989,0.988118311283391,0.9682448402204558
41,0.1,100000.0,10,SVMSMOTE,XGboost,0.9815,0.9948116399729303,0.9844848755441455,0.9896213183730715,0.9701482975223129
42,0.1,100000.0,30,Unbalanced,XGboost,0.99105,0.991414169390129,0.9986608637428859,0.995024322446143,0.9620349554518086
43,0.1,100000.0,30,ADASYN,XGboost,0.97675,0.9945045606481219,0.9794665773909161,0.9869282883085485,0.966393538936074
44,0.1,100000.0,30,RandomOverSampler,XGboost,0.9912,0.9939873065360205,0.9962057806048432,0.9950953071006576,0.972116364797128
45,0.1,100000.0,30,SMOTE,XGboost,0.98985,0.9946401652615711,0.9940296841870327,0.994334831021684,0.9739157083110331
46,0.1,100000.0,30,BorderlineSMOTE,XGboost,0.9888,0.9948551616150318,0.9926347505858721,0.9937437157859458,0.9741807054180563
47,0.1,100000.0,30,SVMSMOTE,XGboost,0.98865,0.9952420934788693,0.9920767771454079,0.9936569145220331,0.9755860305361302
48,0.1,100000.0,50,Unbalanced,XGboost,0.9928,0.9930108719769248,0.9989955357142857,0.995994213864471,0.9692093063186813
49,0.1,100000.0,50,ADASYN,XGboost,0.98235,0.9950961050673581,0.98515625,0.9901012310367068,0.9716646634615385
50,0.1,100000.0,50,RandomOverSampler,XGboost,0.99345,0.9947160576227821,0.9979910714285715,0.9963508732833785,0.9761589972527472
51,0.1,100000.0,50,SMOTE,XGboost,0.99145,0.9949801996765018,0.9954799107142858,0.9952299924684092,0.9761053399725276
52,0.1,100000.0,50,BorderlineSMOTE,XGboost,0.99205,0.9949835572153168,0.9961495535714285,0.9955662139929171,0.976440161401099
53,0.1,100000.0,50,SVMSMOTE,XGboost,0.9924,0.9953719192595071,0.9961495535714285,0.9957605845930719,0.9781228537087913
54,0.05,10000.0,10,Unbalanced,XGboost,0.988,0.989512323020451,0.9978847170809095,0.9936808846761453,0.9071992392743997
55,0.05,10000.0,10,ADASYN,XGboost,0.959,0.9918433931484503,0.9645690111052353,0.9780160857908847,0.9134771661030763
56,0.05,10000.0,10,RandomOverSampler,XGboost,0.987,0.9915656299420137,0.994711792702274,0.9931362196409714,0.9239614009382929
57,0.05,10000.0,10,SMOTE,XGboost,0.9775,0.9920042643923241,0.9841353781068218,0.9880541544996018,0.9232603496038696
58,0.05,10000.0,10,BorderlineSMOTE,XGboost,0.984,0.9915388683236382,0.9915388683236382,0.9915388683236384,0.922374938748975
59,0.05,10000.0,10,SVMSMOTE,XGboost,0.986,0.9920760697305864,0.9931253305129562,0.992600422832981,0.9277553258069368
60,0.05,10000.0,30,Unbalanced,XGboost,0.982,0.9823284823284824,0.9989429175475687,0.9905660377358492,0.8420640513663769
