,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,100000.0,5,Unbalanced,Logistic Regression,0.9952,0.9950558302316538,0.9996093532005135,0.9973273942093541,0.9784207265762298
1,0.1,100000.0,5,Unbalanced,Decision Tree,0.9901,0.9945303343193616,0.994419331435906,0.9944748297801093,0.973663293781384
2,0.1,100000.0,5,Unbalanced,Random Forest,0.9952,0.9950558302316538,0.9996093532005135,0.9973273942093541,0.9784207265762298
3,0.1,100000.0,5,Unbalanced,XGboost,0.9952,0.9950558302316538,0.9996093532005135,0.9973273942093541,0.9784207265762298
4,0.1,100000.0,5,ADASYN,Logistic Regression,0.73745,0.99484375,0.7106423349517272,0.8290634460757186,0.8394634067838885
5,0.1,100000.0,5,ADASYN,Decision Tree,0.92995,0.9949065196548418,0.9265584016965233,0.9595168607507152,0.9428563272298089
6,0.1,100000.0,5,ADASYN,Random Forest,0.94075,0.9948545067423705,0.9387242591662481,0.9659746748212595,0.9484587177618843
7,0.1,100000.0,5,ADASYN,XGboost,0.8594,0.9946951339314952,0.8475919415145935,0.9152705797276124,0.9043341735444181
8,0.1,100000.0,5,RandomOverSampler,Logistic Regression,0.99455,0.9951073056821973,0.9988280596015403,0.9969642111126585,0.9782703488781367
9,0.1,100000.0,5,RandomOverSampler,Decision Tree,0.9906,0.9943127962085309,0.9952006250348792,0.99475651252301,0.9730928641752964
10,0.1,100000.0,5,RandomOverSampler,Random Forest,0.99515,0.9950555555555556,0.9995535465148725,0.9972994793841699,0.9783928232334094
11,0.1,100000.0,5,RandomOverSampler,XGboost,0.9949,0.9950541817171437,0.9992745130866678,0.9971598819401906,0.978253306519307
12,0.1,100000.0,5,SMOTE,Logistic Regression,0.99465,0.9951078496775628,0.9989396729728222,0.9970200796502076,0.9783261555637777
13,0.1,100000.0,5,SMOTE,Decision Tree,0.9701,0.9948574367179018,0.9716502036944026,0.9831168831168831,0.9642008827217808
14,0.1,100000.0,5,SMOTE,Random Forest,0.9924,0.9950404012259683,0.9964841788046208,0.9957617666741023,0.9768581393782835
15,0.1,100000.0,5,SMOTE,XGboost,0.9939,0.9950486787204451,0.998158379373849,0.9966011032484537,0.9776952396628975
16,0.1,100000.0,5,BorderlineSMOTE,Logistic Regression,0.68725,0.994488723079532,0.6545566158825827,0.7894860835324605,0.8116608163507099
17,0.1,100000.0,5,BorderlineSMOTE,Decision Tree,0.9881,0.9945180958773844,0.9921870640102685,0.9933512124259695,0.9725471600685653
18,0.1,100000.0,5,BorderlineSMOTE,Random Forest,0.99295,0.9950434395188238,0.9970980523466711,0.9960696864111498,0.9771650761493087
