,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,10,Unbalanced,Logistic Regression,0.979,0.9792008757525998,0.9977691020635806,0.9883977900552485,0.9070971114182637
1,0.1,10000.0,10,Unbalanced,Decision Tree,0.9705,0.9870786516853932,0.9799219185722253,0.9834872656031346,0.9344054037305571
2,0.1,10000.0,10,Unbalanced,Random Forest,0.9885,0.9900332225913622,0.9972113775794758,0.9936093359266464,0.9551274279201727
3,0.1,10000.0,10,Unbalanced,XGboost,0.989,0.9911259012756517,0.9966536530953709,0.9938820912124583,0.9596794835525163
4,0.1,10000.0,10,SMOTE,Logistic Regression,0.9555,0.9896551724137931,0.9604015616285555,0.9748089442400226,0.9367225199447126
5,0.1,10000.0,10,SMOTE,Decision Tree,0.958,0.9896848137535816,0.9631901840490797,0.9762577727529678,0.9381168311549747
6,0.1,10000.0,10,SMOTE,Random Forest,0.9855,0.9943946188340808,0.9894032348020078,0.9918926474699469,0.9705470280290233
7,0.1,10000.0,10,SMOTE,XGboost,0.9835,0.9932735426008968,0.9882877858337981,0.9907743919485602,0.9651583856705223
8,0.1,10000.0,10,BorderlineSMOTE,Logistic Regression,0.8785,0.9930025445292621,0.8706079196876743,0.9277860326894501,0.9087339115346583
9,0.1,10000.0,10,BorderlineSMOTE,Decision Tree,0.9595,0.9869169510807736,0.9676519799219185,0.9771895240777245,0.9282704344054037
10,0.1,10000.0,10,BorderlineSMOTE,Random Forest,0.982,0.9932622122403144,0.9866146123814835,0.9899272523782876,0.964321798944365
11,0.1,10000.0,10,BorderlineSMOTE,XGboost,0.979,0.9937958262831359,0.9827105409927496,0.9882220975883342,0.9647852221871961
12,0.1,10000.0,10,SVMSMOTE,Logistic Regression,0.9075,0.9920440636474909,0.9040713887339654,0.9460169244236942,0.9206347281834079
13,0.1,10000.0,10,SVMSMOTE,Decision Tree,0.9715,0.9909502262443439,0.9771332961517011,0.9839932603201347,0.9499193050806815
14,0.1,10000.0,10,SVMSMOTE,Random Forest,0.9845,0.9932810750279956,0.9894032348020078,0.9913383626711372,0.9657161101546271
15,0.1,10000.0,10,SVMSMOTE,XGboost,0.982,0.9927089175546832,0.9871723368655884,0.9899328859060403,0.9621852022492193
16,0.1,10000.0,30,Unbalanced,Logistic Regression,0.9335,0.9467455621301775,0.9810479375696767,0.9635915685737748,0.7502327066489161
17,0.1,10000.0,30,Unbalanced,Decision Tree,0.9525,0.9701162147205312,0.9771460423634337,0.9736184393224104,0.8575050600166683
18,0.1,10000.0,30,Unbalanced,Random Forest,0.967,0.9655172413793104,0.9988851727982163,0.9819178082191781,0.8441027805738655
19,0.1,10000.0,30,Unbalanced,XGboost,0.983,0.9835164835164835,0.9977703455964325,0.9905921416712783,0.9260696388176337
20,0.1,10000.0,30,SMOTE,Logistic Regression,0.855,0.9795918367346939,0.8561872909698997,0.9137418203450327,0.8504237425723284
21,0.1,10000.0,30,SMOTE,Decision Tree,0.9305,0.9747561675272519,0.9470457079152731,0.9607011591744415,0.8667267374527822
22,0.1,10000.0,30,SMOTE,Random Forest,0.9775,0.9855635757912271,0.9894091415830546,0.9874826147426982,0.9315977746750225
23,0.1,10000.0,30,SMOTE,XGboost,0.9825,0.9883398112159911,0.992196209587514,0.9902642559109875,0.9451272310073492
24,0.1,10000.0,30,BorderlineSMOTE,Logistic Regression,0.839,0.977302204928664,0.8400222965440357,0.9034772182254196,0.8350596919613382
25,0.1,10000.0,30,BorderlineSMOTE,Decision Tree,0.93,0.9698863636363636,0.9515050167224081,0.9606077658975801,0.8471117316621749
26,0.1,10000.0,30,BorderlineSMOTE,Random Forest,0.9735,0.9865846841811068,0.9838350055741361,0.9852079263187273,0.933665075602602
27,0.1,10000.0,30,BorderlineSMOTE,XGboost,0.981,0.9899553571428571,0.9888517279821628,0.9894032348020078,0.950736543602732
28,0.1,10000.0,30,SVMSMOTE,Logistic Regression,0.838,0.9797650130548303,0.8366778149386845,0.9025856885147324,0.8430961890227404
29,0.1,10000.0,30,SVMSMOTE,Decision Tree,0.9365,0.977650429799427,0.9509476031215162,0.9641141565413959,0.8808136073860007
30,0.1,10000.0,30,SVMSMOTE,Random Forest,0.9745,0.9838978345363687,0.987736900780379,0.9858136300417245,0.9234801008756266
31,0.1,10000.0,30,SVMSMOTE,XGboost,0.981,0.9888641425389755,0.9899665551839465,0.9894150417827299,0.9464395882715849
32,0.1,100000.0,10,Unbalanced,Logistic Regression,0.97375,0.9790668209111442,0.9919075789708672,0.9854453716281777,0.9046953841059907
33,0.1,100000.0,10,Unbalanced,Decision Tree,0.9723,0.9848112575385303,0.9842616363433419,0.9845363702339083,0.9268090122158592
34,0.1,100000.0,10,Unbalanced,Random Forest,0.9866,0.9892991794189399,0.9958142649849313,0.9925460310396618,0.9515574687076434
35,0.1,100000.0,10,Unbalanced,XGboost,0.98685,0.9896821434514894,0.9957026453845296,0.9926832661009877,0.9531827347960111
36,0.1,100000.0,10,SMOTE,Logistic Regression,0.9467,0.9924029920523609,0.9477620270119433,0.9695689409077934,0.9426610327182675
37,0.1,100000.0,10,SMOTE,Decision Tree,0.9569,0.9895522388059701,0.9620493358633776,0.9756069953025072,0.9373166948289029
38,0.1,100000.0,10,SMOTE,Random Forest,0.9855,0.9934497816593887,0.9903449045652416,0.9918949133594187,0.9670744695736871
39,0.1,100000.0,10,SMOTE,XGboost,0.98105,0.9936947587682261,0.9850987833463556,0.9893781003895631,0.9656521774560789
40,0.1,100000.0,10,BorderlineSMOTE,Logistic Regression,0.8885,0.9950770007573845,0.8798973099676303,0.933949410579942,0.9212166665111927
41,0.1,100000.0,10,BorderlineSMOTE,Decision Tree,0.96965,0.9874415723376696,0.9785690367228486,0.9829852838121934,0.9357302436255934
42,0.1,100000.0,10,BorderlineSMOTE,Random Forest,0.9842,0.9934402332361516,0.9888938497600178,0.9911618280472115,0.9663489421710753
43,0.1,100000.0,10,BorderlineSMOTE,XGboost,0.97885,0.994684159927614,0.9816385757338989,0.988118311283391,0.9682448402204558
44,0.1,100000.0,10,SVMSMOTE,Logistic Regression,0.91825,0.9945331956508534,0.9137738586895859,0.9524446642040661,0.9352730964917672
45,0.1,100000.0,10,SVMSMOTE,Decision Tree,0.9702,0.9894879620210241,0.9771179819176248,0.9832640682915871,0.9438904030625588
46,0.1,100000.0,10,SVMSMOTE,Random Forest,0.984,0.9940482874789444,0.9880567027570041,0.9910434393193014,0.9685720593516047
