,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,10,Unbalanced,Logistic Regression,0.979,0.9792008757525998,0.9977691020635806,0.9883977900552485,0.9070971114182637
1,0.1,10000.0,10,ADASYN,Logistic Regression,0.819,0.9944713199723566,0.8025655326268823,0.8882716049382716,0.8819590948158567
2,0.1,10000.0,10,RandomOverSampler,Logistic Regression,0.9505,0.9895953757225433,0.954824316787507,0.9718989497587284,0.9339338975241883
3,0.1,10000.0,10,SMOTE,Logistic Regression,0.9555,0.9896551724137931,0.9604015616285555,0.9748089442400226,0.9367225199447126
4,0.1,10000.0,10,BorderlineSMOTE,Logistic Regression,0.8785,0.9930025445292621,0.8706079196876743,0.9277860326894501,0.9087339115346583
5,0.1,10000.0,10,SVMSMOTE,Logistic Regression,0.9075,0.9920440636474909,0.9040713887339654,0.9460169244236942,0.9206347281834079
6,0.1,10000.0,30,Unbalanced,Logistic Regression,0.9335,0.9467455621301775,0.9810479375696767,0.9635915685737748,0.7502327066489161
7,0.1,10000.0,30,ADASYN,Logistic Regression,0.8115,0.9777478084962913,0.8082497212931996,0.8849557522123894,0.8240277732679591
8,0.1,10000.0,30,RandomOverSampler,Logistic Regression,0.844,0.9793014230271668,0.8439241917502787,0.9065868263473053,0.844292192962518
9,0.1,10000.0,30,SMOTE,Logistic Regression,0.855,0.9795918367346939,0.8561872909698997,0.9137418203450327,0.8504237425723284
10,0.1,10000.0,30,BorderlineSMOTE,Logistic Regression,0.839,0.977302204928664,0.8400222965440357,0.9034772182254196,0.8350596919613382
11,0.1,10000.0,30,SVMSMOTE,Logistic Regression,0.838,0.9797650130548303,0.8366778149386845,0.9025856885147324,0.8430961890227404
12,0.1,10000.0,50,Unbalanced,Logistic Regression,0.99,0.9922265408106608,0.9966536530953709,0.9944351697273233,0.9645104014269126
13,0.1,10000.0,50,ADASYN,Logistic Regression,0.935,0.9946460440214159,0.9325153374233128,0.9625791594703512,0.9445185382768738
14,0.1,10000.0,50,RandomOverSampler,Logistic Regression,0.977,0.9937817976257772,0.9804796430563302,0.9870859067939359,0.9636697732189864
15,0.1,10000.0,50,SMOTE,Logistic Regression,0.9815,0.9938132733408324,0.9854991634132738,0.989638756650798,0.9661795333974582
16,0.1,10000.0,50,BorderlineSMOTE,Logistic Regression,0.9755,0.9943310657596371,0.9782487451199108,0.9862243463592915,0.9649697831879748
17,0.1,10000.0,50,SVMSMOTE,Logistic Regression,0.972,0.9948717948717949,0.973786949247072,0.9842164599774521,0.9651543441887535
18,0.1,50000.0,10,Unbalanced,Logistic Regression,0.9875,0.9906749555950266,0.9954266592303402,0.9930451232404163,0.9571336194702426
19,0.1,50000.0,10,ADASYN,Logistic Regression,0.7733,0.9948286052009456,0.751031790295594,0.8559079641517829,0.8586076825874105
20,0.1,50000.0,10,RandomOverSampler,Logistic Regression,0.9721,0.9943091281584339,0.9744562186279978,0.984282575629542,0.9630735199420183
21,0.1,50000.0,10,SMOTE,Logistic Regression,0.9736,0.9943188274059765,0.9761293920803124,0.9851401553529213,0.9639101066681756
22,0.1,50000.0,10,BorderlineSMOTE,Logistic Regression,0.9064,0.9943356729466815,0.9007250418293363,0.9452183073861641,0.9281402986924461
23,0.1,50000.0,10,SVMSMOTE,Logistic Regression,0.9449,0.9945920526687044,0.9436698271054099,0.968462022780608,0.9496126913304828
24,0.1,50000.0,30,Unbalanced,Logistic Regression,0.989,0.9894899878305122,0.9983257059939725,0.9938882098010889,0.9535336503072649
25,0.1,50000.0,30,ADASYN,Logistic Regression,0.9161,0.9943984413054068,0.9114856568813484,0.9511385475511037,0.9336486881909143
26,0.1,50000.0,30,RandomOverSampler,Logistic Regression,0.9752,0.9942130942925224,0.9780109387208393,0.9860454647760521,0.9645097921269903
27,0.1,50000.0,30,SMOTE,Logistic Regression,0.9791,0.9936808846761453,0.9829222011385199,0.9882722630604343,0.9645638863521611
28,0.1,50000.0,30,BorderlineSMOTE,Logistic Regression,0.9652,0.994487194211554,0.9665141198794508,0.980301143439375,0.9602023048964978
29,0.1,50000.0,30,SVMSMOTE,Logistic Regression,0.9645,0.9947102115915364,0.9655095434758344,0.9798923817615407,0.9606606314881574
30,0.1,50000.0,50,Unbalanced,Logistic Regression,0.9899,0.9897203492870564,0.9991073421111359,0.9943916930423677,0.9547559831942962
31,0.1,50000.0,50,ADASYN,Logistic Regression,0.968,0.9927023945267959,0.9714349475563491,0.981953530340627,0.9548889574005253
32,0.1,50000.0,50,RandomOverSampler,Logistic Regression,0.9853,0.9932848349188584,0.990292345458603,0.9917863329049562,0.9662444386252553
33,0.1,50000.0,50,SMOTE,Logistic Regression,0.9883,0.992757660167131,0.9941977237223834,0.9934771700953335,0.9657886499151416
34,0.1,50000.0,50,BorderlineSMOTE,Logistic Regression,0.9786,0.993234100135318,0.9828163356393662,0.9879977565900168,0.9625064337156369
35,0.1,50000.0,50,SVMSMOTE,Logistic Regression,0.9548,0.9945374244537425,0.9548091943762553,0.9742684731868383,0.9547649054732914
36,0.1,100000.0,10,Unbalanced,Logistic Regression,0.97375,0.9790668209111442,0.9919075789708672,0.9854453716281777,0.9046953841059907
37,0.1,100000.0,10,ADASYN,Logistic Regression,0.7983,0.9955032119914347,0.7783792834021654,0.873653219744425,0.8740599587039647
38,0.1,100000.0,10,RandomOverSampler,Logistic Regression,0.94325,0.9926613045265074,0.9436321017970756,0.9675259649223199,0.9417968386026685
39,0.1,100000.0,10,SMOTE,Logistic Regression,0.9467,0.9924029920523609,0.9477620270119433,0.9695689409077934,0.9426610327182675
40,0.1,100000.0,10,BorderlineSMOTE,Logistic Regression,0.8885,0.9950770007573845,0.8798973099676303,0.933949410579942,0.9212166665111927
41,0.1,100000.0,10,SVMSMOTE,Logistic Regression,0.91825,0.9945331956508534,0.9137738586895859,0.9524446642040661,0.9352730964917672
42,0.1,100000.0,30,Unbalanced,Logistic Regression,0.9752,0.9773200394434096,0.9954246177881932,0.9862892525431224,0.8980972944571379
43,0.1,100000.0,30,ADASYN,Logistic Regression,0.87665,0.9903547179389555,0.8708291485325299,0.9267539562364538,0.8988409457773333
44,0.1,100000.0,30,RandomOverSampler,Logistic Regression,0.9418,0.9894847528916929,0.9450954134583194,0.9667808219178082,0.9292368308870038
45,0.1,100000.0,30,SMOTE,Logistic Regression,0.94795,0.9883700746398195,0.9531302310010044,0.9704303365999148,0.928201304143428
46,0.1,100000.0,30,BorderlineSMOTE,Logistic Regression,0.9138,0.991205725376031,0.9118959937506975,0.9498982853821564,0.9210586802247231
47,0.1,100000.0,30,SVMSMOTE,Logistic Regression,0.90025,0.9928823420189392,0.8951009931927241,0.941459549869421,0.9198796592527624
48,0.1,100000.0,50,Unbalanced,Logistic Regression,0.9835,0.9863953102532905,0.9953125,0.9908338425643021,0.9385216346153846
49,0.1,100000.0,50,ADASYN,Logistic Regression,0.91725,0.9917760174154925,0.915234375,0.9519691209333372,0.9249248798076923
50,0.1,100000.0,50,RandomOverSampler,Logistic Regression,0.9611,0.9934369602763385,0.9629464285714285,0.9779540946443752,0.9540693681318682
51,0.1,100000.0,50,SMOTE,Logistic Regression,0.96715,0.9928061661433057,0.9703683035714286,0.9814590094539298,0.9548956902472527
52,0.1,100000.0,50,BorderlineSMOTE,Logistic Regression,0.9543,0.9933279183105129,0.9554129464285714,0.9740015929002163,0.950062242445055
53,0.1,100000.0,50,SVMSMOTE,Logistic Regression,0.929,0.9947229551451188,0.9256696428571428,0.9589547924615562,0.9416809752747253
54,0.05,10000.0,10,Unbalanced,Logistic Regression,0.9845,0.984375,0.9994711792702274,0.9918656520598268,0.8621209107360311
55,0.05,10000.0,10,ADASYN,Logistic Regression,0.7995,0.9933774834437086,0.7932310946589106,0.8820935019112025,0.8507439876964277
56,0.05,10000.0,10,RandomOverSampler,Logistic Regression,0.9555,0.9923497267759562,0.9603384452670545,0.9760816984681536,0.9159490391472886
57,0.05,10000.0,10,SMOTE,Logistic Regression,0.96,0.9923871669385536,0.965097831835008,0.9785522788203753,0.9183287324312654
58,0.05,10000.0,10,BorderlineSMOTE,Logistic Regression,0.89,0.994086339444116,0.8889476467477525,0.9385817978782803,0.8986022637408487
59,0.05,10000.0,10,SVMSMOTE,Logistic Regression,0.932,0.9921480650588895,0.9354838709677419,0.9629831246597713,0.9035217519976325
60,0.05,10000.0,30,Unbalanced,Logistic Regression,0.9595,0.9626980071538068,0.9957716701902748,0.9789555728760716,0.6599228721321744
61,0.05,10000.0,30,ADASYN,Logistic Regression,0.8075,0.9851899549259497,0.8086680761099366,0.888243831640058,0.7978525565734867
62,0.05,10000.0,30,RandomOverSampler,Logistic Regression,0.8495,0.9865443425076452,0.8525369978858351,0.9146583498724129,0.8244166470910657
63,0.05,10000.0,30,SMOTE,Logistic Regression,0.861,0.9867310012062727,0.864693446088795,0.9216901408450704,0.8304948711925456
64,0.05,10000.0,30,BorderlineSMOTE,Logistic Regression,0.8545,0.9884075655887736,0.8562367864693446,0.9175870858113848,0.8401554302717094
65,0.05,10000.0,30,SVMSMOTE,Logistic Regression,0.8845,0.9859566998244588,0.8905919661733616,0.9358511524576507,0.8341848719755696
66,0.05,10000.0,50,Unbalanced,Logistic Regression,0.9895,0.9905610907184059,0.9984143763213531,0.994472229534088,0.9158738548273432
67,0.05,10000.0,50,ADASYN,Logistic Regression,0.929,0.9937923250564334,0.9307610993657506,0.9612445414847162,0.9144546237569494
68,0.05,10000.0,50,RandomOverSampler,Logistic Regression,0.9675,0.9940508382909681,0.9714587737843552,0.9826249665864742,0.9348034609662517
69,0.05,10000.0,50,SMOTE,Logistic Regression,0.9725,0.9930220075147611,0.9778012684989429,0.9853528628495339,0.9287154490642863
70,0.05,10000.0,50,BorderlineSMOTE,Logistic Regression,0.9835,0.9946780202235231,0.9878435517970402,0.9912490055688147,0.947625479602224
71,0.05,10000.0,50,SVMSMOTE,Logistic Regression,0.9825,0.9936204146730463,0.9878435517970402,0.9907235621521336,0.9383662203429646
72,0.05,50000.0,10,Unbalanced,Logistic Regression,0.9911,0.9922244404749396,0.9984140410234722,0.9953096179183135,0.9309413378549095
73,0.05,50000.0,10,ADASYN,Logistic Regression,0.702,0.9961703431372549,0.687566081624022,0.8135868885274615,0.8207203101847047
74,0.05,50000.0,10,RandomOverSampler,Logistic Regression,0.9637,0.9957483920200588,0.9657432861069993,0.9805163437281949,0.9468937832749018
75,0.05,50000.0,10,SMOTE,Logistic Regression,0.9658,0.9957581031107244,0.9679636286741383,0.9816641647008365,0.9480039545584713
76,0.05,50000.0,10,BorderlineSMOTE,Logistic Regression,0.8817,0.9960436398513368,0.8784098117995348,0.9335355918871846,0.9087621014717231
77,0.05,50000.0,10,SVMSMOTE,Logistic Regression,0.941,0.9957513416815742,0.9416367096637767,0.9679382675796108,0.9357630042783828
