,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,5,Unbalanced,Logistic Regression,0.965,0.9615384615384616,1.0,0.9803921568627451,0.86
1,0.1,1000.0,5,Unbalanced,Decision Tree,0.905,0.9588235294117647,0.9314285714285714,0.944927536231884,0.8257142857142856
2,0.1,1000.0,5,Unbalanced,Random Forest,0.965,0.9615384615384616,1.0,0.9803921568627451,0.86
3,0.1,1000.0,5,Unbalanced,XGboost,0.96,0.9613259668508287,0.9942857142857143,0.9775280898876405,0.8571428571428571
4,0.1,1000.0,5,ADASYN,Logistic Regression,0.8,0.9591836734693877,0.8057142857142857,0.875776397515528,0.7828571428571428
5,0.1,1000.0,5,ADASYN,Decision Tree,0.78,0.9645390070921985,0.7771428571428571,0.860759493670886,0.7885714285714286
6,0.1,1000.0,5,ADASYN,Random Forest,0.785,0.9583333333333334,0.7885714285714286,0.865203761755486,0.7742857142857144
7,0.1,1000.0,5,ADASYN,XGboost,0.79,0.9586206896551724,0.7942857142857143,0.86875,0.7771428571428571
8,0.1,1000.0,5,RandomOverSampler,Logistic Regression,0.965,0.9615384615384616,1.0,0.9803921568627451,0.86
9,0.1,1000.0,5,RandomOverSampler,Decision Tree,0.935,0.9550561797752809,0.9714285714285714,0.9631728045325779,0.8257142857142857
10,0.1,1000.0,5,RandomOverSampler,Random Forest,0.955,0.9611111111111111,0.9885714285714285,0.9746478873239437,0.8542857142857143
11,0.1,1000.0,5,RandomOverSampler,XGboost,0.965,0.9615384615384616,1.0,0.9803921568627451,0.86
12,0.1,1000.0,5,SMOTE,Logistic Regression,0.965,0.9615384615384616,1.0,0.9803921568627451,0.86
13,0.1,1000.0,5,SMOTE,Decision Tree,0.845,0.9556962025316456,0.8628571428571429,0.906906906906907,0.7914285714285715
14,0.1,1000.0,5,SMOTE,Random Forest,0.895,0.9583333333333334,0.92,0.9387755102040817,0.82
15,0.1,1000.0,5,SMOTE,XGboost,0.87,0.9570552147239264,0.8914285714285715,0.9230769230769231,0.8057142857142857
16,0.1,1000.0,5,BorderlineSMOTE,Logistic Regression,0.725,0.9545454545454546,0.72,0.8208469055374592,0.74
17,0.1,1000.0,5,BorderlineSMOTE,Decision Tree,0.905,0.9588235294117647,0.9314285714285714,0.944927536231884,0.8257142857142856
18,0.1,1000.0,5,BorderlineSMOTE,Random Forest,0.91,0.9590643274853801,0.9371428571428572,0.9479768786127168,0.8285714285714286
19,0.1,1000.0,5,BorderlineSMOTE,XGboost,0.895,0.9583333333333334,0.92,0.9387755102040817,0.82
20,0.1,1000.0,5,SVMSMOTE,Logistic Regression,0.945,0.9606741573033708,0.9771428571428571,0.9688385269121813,0.8485714285714285
