,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,10000.0,5,Unbalanced,Logistic Regression,0.9565,0.9557422969187676,0.9953325554259043,0.9751357530723063,0.859554389601064
1,0.1,10000.0,5,Unbalanced,Decision Tree,0.9035,0.9534883720930233,0.9329054842473745,0.9430846358006488,0.8300891057600509
2,0.1,10000.0,5,Unbalanced,Random Forest,0.9545,0.9556428972487366,0.9929988331388565,0.9739628040057224,0.8583875284575402
3,0.1,10000.0,5,Unbalanced,XGboost,0.9555,0.9556926528323051,0.9941656942823804,0.9745496139548184,0.8589709590293021
4,0.1,10000.0,5,ADASYN,Logistic Regression,0.87,0.9560853199498118,0.8891481913652275,0.9214026602176543,0.8221964733049913
5,0.1,10000.0,5,ADASYN,Decision Tree,0.799,0.9568245125348189,0.8016336056009334,0.8723809523809524,0.7924251944088584
6,0.1,10000.0,5,ADASYN,Random Forest,0.8295,0.9555408095554081,0.8401400233372228,0.8941322570630239,0.8029371445357443
7,0.1,10000.0,5,ADASYN,XGboost,0.7845,0.9572344975053457,0.7835472578763127,0.8617260186076356,0.7868785240430515
8,0.1,10000.0,5,SMOTE,Logistic Regression,0.9565,0.9557422969187676,0.9953325554259043,0.9751357530723063,0.859554389601064
9,0.1,10000.0,5,SMOTE,Decision Tree,0.813,0.9551630434782609,0.8203033838973163,0.8826114249843063,0.7947670765640427
10,0.1,10000.0,5,SMOTE,Random Forest,0.904,0.9573317307692307,0.9294049008168028,0.9431616341030195,0.8405765762825274
11,0.1,10000.0,5,SMOTE,XGboost,0.914,0.9562130177514793,0.9428238039673279,0.9494712103407755,0.8420412726130346
12,0.1,10000.0,5,BorderlineSMOTE,Logistic Regression,0.7825,0.9558089807555239,0.7823803967327888,0.8604427333974976,0.782798589974786
13,0.1,10000.0,5,BorderlineSMOTE,Decision Tree,0.851,0.9521072796934866,0.8698949824970829,0.9091463414634146,0.8038286101296602
14,0.1,10000.0,5,BorderlineSMOTE,Random Forest,0.892,0.9572649572649573,0.9148191365227538,0.9355608591885441,0.8350319458837545
15,0.1,10000.0,5,BorderlineSMOTE,XGboost,0.8675,0.9588347055098163,0.8833138856476079,0.9195262678408745,0.8280205791874403
16,0.1,10000.0,10,Unbalanced,Logistic Regression,0.9315,0.9338709677419355,0.9920045688178184,0.9620603710883411,0.7490143326016803
17,0.1,10000.0,10,Unbalanced,Decision Tree,0.8835,0.9433411214953271,0.9223300970873787,0.9327172971412071,0.7663859320778259
18,0.1,10000.0,10,Unbalanced,Random Forest,0.9455,0.950109649122807,0.9897201599086236,0.9695104895104895,0.8121291562595327
19,0.1,10000.0,10,Unbalanced,XGboost,0.945,0.950082281952825,0.989149057681325,0.9692221600447678,0.8118436051458833
20,0.1,10000.0,10,ADASYN,Logistic Regression,0.7125,0.9537037037037037,0.7058823529411765,0.8112897932392517,0.7324592487597449
21,0.1,10000.0,10,ADASYN,Decision Tree,0.803,0.9414443721535458,0.8263849229011994,0.8801703163017032,0.7324695698843346
22,0.1,10000.0,10,ADASYN,Random Forest,0.8855,0.9508293838862559,0.9166190748143918,0.9334108752544343,0.7916428707405293
23,0.1,10000.0,10,ADASYN,XGboost,0.8515,0.9521144278606966,0.874357509994289,0.9115808276272701,0.7825602811015621
24,0.1,10000.0,10,SMOTE,Logistic Regression,0.8785,0.9509569377990431,0.9080525414049114,0.9290096406660824,0.7893676361643032
25,0.1,10000.0,10,SMOTE,Decision Tree,0.8375,0.9461827284105131,0.863506567675614,0.9029561063003881,0.7590625207855981
26,0.1,10000.0,10,SMOTE,Random Forest,0.9195,0.9517045454545454,0.9565962307252999,0.9541441184847622,0.8076153844389552
27,0.1,10000.0,10,SMOTE,XGboost,0.9085,0.9542294322132098,0.9406053683609366,0.9473684210526315,0.811668146027858
28,0.1,10000.0,10,BorderlineSMOTE,Logistic Regression,0.7285,0.9534534534534534,0.7252998286693318,0.82387285111904,0.7381519223667945
29,0.1,10000.0,10,BorderlineSMOTE,Decision Tree,0.836,0.9455228553537883,0.8623643632210166,0.9020310633213858,0.7564833864297854
30,0.1,10000.0,10,BorderlineSMOTE,Random Forest,0.9085,0.9526558891454965,0.9423186750428326,0.9474590869939706,0.8065007029832636
31,0.1,10000.0,10,BorderlineSMOTE,XGboost,0.885,0.9518716577540107,0.9149057681324957,0.9330227140361095,0.7948022816566092
32,0.1,10000.0,15,Unbalanced,Logistic Regression,0.935,0.9310722100656456,0.9976553341148886,0.9632144878324843,0.7845419527717299
33,0.1,10000.0,15,Unbalanced,Decision Tree,0.885,0.9320843091334895,0.9331770222743259,0.9326303456356181,0.769309599572537
34,0.1,10000.0,15,Unbalanced,Random Forest,0.9415,0.9396790260099612,0.9953106682297772,0.9666951323654995,0.8122811844550245
35,0.1,10000.0,15,Unbalanced,XGboost,0.9395,0.9395452024403772,0.9929660023446659,0.9655172413793104,0.8111088515124689
36,0.1,10000.0,15,ADASYN,Logistic Regression,0.689,0.939935064935065,0.6787807737397421,0.788291354663036,0.7135400467338167
37,0.1,10000.0,15,ADASYN,Decision Tree,0.818,0.9379895561357703,0.8423212192262602,0.8875849289684989,0.75959598376279
38,0.1,10000.0,15,ADASYN,Random Forest,0.9115,0.9437028438769588,0.9531066822977726,0.9483814523184602,0.8115873547543284
39,0.1,10000.0,15,ADASYN,XGboost,0.8775,0.9440729483282675,0.9103165298944901,0.9268874962697702,0.7986956799132314
40,0.1,10000.0,15,SMOTE,Logistic Regression,0.8675,0.9412124923453766,0.9009378663540446,0.9206349206349207,0.7872036270545734
41,0.1,10000.0,15,SMOTE,Decision Tree,0.837,0.9339622641509434,0.8704572098475967,0.9010922330097086,0.7566571763523697
42,0.1,10000.0,15,SMOTE,Random Forest,0.934,0.9431306306306306,0.9818288393903869,0.9620907524411257,0.8191457122122001
43,0.1,10000.0,15,SMOTE,XGboost,0.9165,0.945054945054945,0.9577960140679953,0.9513828238719068,0.8173333811836575
44,0.1,10000.0,15,BorderlineSMOTE,Logistic Regression,0.688,0.9412724306688418,0.6764361078546307,0.7871759890859482,0.7157690743354785
45,0.1,10000.0,15,BorderlineSMOTE,Decision Tree,0.849,0.9327990135635018,0.8868698710433763,0.9092548076923078,0.7580607858618242
46,0.1,10000.0,15,BorderlineSMOTE,Random Forest,0.922,0.9433638443935927,0.9665885111371629,0.9548349739432542,0.8149269086298059
47,0.1,10000.0,15,BorderlineSMOTE,XGboost,0.9035,0.9431751611013474,0.943728018757327,0.9434515089364195,0.8068980229841056
48,0.1,10000.0,20,Unbalanced,Logistic Regression,0.928,0.9268024215740231,0.9935103244837759,0.958997722095672,0.778722375356642
49,0.1,10000.0,20,Unbalanced,Decision Tree,0.8675,0.925089179548157,0.9179941002949853,0.9215279834172343,0.7524396730983124
50,0.1,10000.0,20,Unbalanced,Random Forest,0.9385,0.9381270903010034,0.9929203539823008,0.9647463456577816,0.8144929638763962
51,0.1,10000.0,20,Unbalanced,XGboost,0.939,0.9391401451702959,0.9923303834808259,0.9650028686173263,0.817476667150249
52,0.1,10000.0,20,ADASYN,Logistic Regression,0.7715,0.9408831908831908,0.7793510324483776,0.8525330751855437,0.753609942453697
53,0.1,10000.0,20,ADASYN,Decision Tree,0.799,0.9239344262295082,0.8312684365781711,0.8751552795031056,0.7254702838628562
54,0.1,10000.0,20,ADASYN,Random Forest,0.9215,0.9424626006904487,0.9663716814159292,0.9542674046023886,0.8192514144784564
55,0.1,10000.0,20,ADASYN,XGboost,0.8945,0.9427207637231504,0.9321533923303835,0.9374072975378226,0.8086996469848639
56,0.1,10000.0,20,SMOTE,Logistic Regression,0.8635,0.9449311639549437,0.8908554572271387,0.917096872153052,0.8011654335316022
57,0.1,10000.0,20,SMOTE,Decision Tree,0.8255,0.9330759330759331,0.855457227138643,0.8925823330255463,0.7572368102906331
58,0.1,10000.0,20,SMOTE,Random Forest,0.9335,0.94375,0.9799410029498525,0.96150506512301,0.8276754195077132
59,0.1,10000.0,20,SMOTE,XGboost,0.9145,0.9430232558139535,0.9569321533923304,0.9499267935578332,0.8178103389912472
60,0.1,10000.0,20,BorderlineSMOTE,Logistic Regression,0.763,0.9407942238267148,0.7687315634218289,0.8461038961038961,0.7499395522027178
61,0.1,10000.0,20,BorderlineSMOTE,Decision Tree,0.834,0.9246105919003115,0.8755162241887906,0.8993939393939393,0.7393974563566905
62,0.1,10000.0,20,BorderlineSMOTE,Random Forest,0.9265,0.9432989690721649,0.9716814159292035,0.9572798605056669,0.8235456259973888
63,0.1,10000.0,20,BorderlineSMOTE,XGboost,0.9155,0.943089430894309,0.9581120943952802,0.9505414105940885,0.8184003094927221
64,0.1,10000.0,25,Unbalanced,Logistic Regression,0.937,0.9365773646801531,0.9941961694718514,0.964527027027027,0.787711803147478
65,0.1,10000.0,25,Unbalanced,Decision Tree,0.8715,0.923699421965318,0.9274521183981428,0.9255719664060237,0.725458911184631
66,0.1,10000.0,25,Unbalanced,Random Forest,0.935,0.9345335515548282,0.9941961694718514,0.9634420697412823,0.7804915865409799
67,0.1,10000.0,25,Unbalanced,XGboost,0.934,0.9358904109589041,0.9912942542077772,0.9627959413754228,0.7844557913638164
68,0.1,10000.0,25,ADASYN,Logistic Regression,0.7845,0.9461325966850829,0.7951247823563552,0.8640807316304006,0.7567681673514628
69,0.1,10000.0,25,ADASYN,Decision Tree,0.8035,0.9318181818181818,0.832849680789321,0.8795586883236285,0.7268941544740828
70,0.1,10000.0,25,ADASYN,Random Forest,0.9285,0.9428251121076233,0.9762042948345908,0.9592244083262047,0.8039866239515915
71,0.1,10000.0,25,ADASYN,XGboost,0.8985,0.9444444444444444,0.9373186302959954,0.940868045441305,0.7971791707436655
72,0.1,10000.0,25,SMOTE,Logistic Regression,0.903,0.9426751592356688,0.9448636099825886,0.9437681159420291,0.793731443980464
73,0.1,10000.0,25,SMOTE,Decision Tree,0.821,0.9333333333333333,0.853163087637841,0.8914493632504548,0.7370508578983428
74,0.1,10000.0,25,SMOTE,Random Forest,0.934,0.9426822481914302,0.9831688914683692,0.9624999999999999,0.8056638681168561
