,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,500.0,10,Unbalanced,Logistic Regression,0.92,0.9175257731958762,1.0,0.956989247311828,0.6363636363636364
1,0.1,500.0,10,Unbalanced,Decision Tree,0.83,0.9186046511627907,0.8876404494382022,0.9028571428571427,0.6256384065372829
2,0.1,500.0,10,Unbalanced,Random Forest,0.94,0.9560439560439561,0.9775280898876404,0.9666666666666667,0.8069458631256383
3,0.1,500.0,10,Unbalanced,XGboost,0.93,0.9361702127659575,0.9887640449438202,0.9617486338797814,0.7216547497446374
4,0.1,500.0,10,ADASYN,Logistic Regression,0.7,0.9538461538461539,0.6966292134831461,0.8051948051948052,0.7119509703779368
5,0.1,500.0,10,ADASYN,Decision Tree,0.79,0.9358974358974359,0.8202247191011236,0.874251497005988,0.6828396322778345
6,0.1,500.0,10,ADASYN,Random Forest,0.88,0.9529411764705882,0.9101123595505618,0.9310344827586207,0.773237997957099
7,0.1,500.0,10,ADASYN,XGboost,0.86,0.9518072289156626,0.8876404494382022,0.9186046511627907,0.7620020429009192
8,0.1,500.0,10,RandomOverSampler,Logistic Regression,0.8,0.96,0.8089887640449438,0.8780487804878049,0.7681307456588355
9,0.1,500.0,10,RandomOverSampler,Decision Tree,0.85,0.9404761904761905,0.8876404494382022,0.9132947976878611,0.7165474974463738
10,0.1,500.0,10,RandomOverSampler,Random Forest,0.94,0.946236559139785,0.9887640449438202,0.967032967032967,0.7671092951991828
11,0.1,500.0,10,RandomOverSampler,XGboost,0.93,0.9361702127659575,0.9887640449438202,0.9617486338797814,0.7216547497446374
12,0.1,500.0,10,SMOTE,Logistic Regression,0.81,0.9605263157894737,0.8202247191011236,0.8848484848484848,0.7737487231869254
13,0.1,500.0,10,SMOTE,Decision Tree,0.79,0.9358974358974359,0.8202247191011236,0.874251497005988,0.6828396322778345
14,0.1,500.0,10,SMOTE,Random Forest,0.9,0.9438202247191011,0.9438202247191011,0.9438202247191011,0.7446373850868233
15,0.1,500.0,10,SMOTE,XGboost,0.87,0.9318181818181818,0.9213483146067416,0.9265536723163842,0.6879468845760981
16,0.1,500.0,10,BorderlineSMOTE,Logistic Regression,0.71,0.9545454545454546,0.7078651685393258,0.8129032258064516,0.7175689479060265
17,0.1,500.0,10,BorderlineSMOTE,Decision Tree,0.78,0.935064935064935,0.8089887640449438,0.8674698795180723,0.6772216547497446
18,0.1,500.0,10,BorderlineSMOTE,Random Forest,0.92,0.9550561797752809,0.9550561797752809,0.9550561797752809,0.7957099080694586
19,0.1,500.0,10,BorderlineSMOTE,XGboost,0.89,0.9534883720930233,0.9213483146067416,0.9371428571428573,0.778855975485189
20,0.1,500.0,10,SVMSMOTE,Logistic Regression,0.92,0.9655172413793104,0.9438202247191011,0.9545454545454545,0.8355464759959143
21,0.1,500.0,10,SVMSMOTE,Decision Tree,0.8,0.9367088607594937,0.8314606741573034,0.880952380952381,0.6884576098059244
22,0.1,500.0,10,SVMSMOTE,Random Forest,0.94,0.9560439560439561,0.9775280898876404,0.9666666666666667,0.8069458631256383
23,0.1,500.0,10,SVMSMOTE,XGboost,0.91,0.9444444444444444,0.9550561797752809,0.9497206703910613,0.7502553626149131
