,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.2,1000.0,10,Unbalanced,Logistic Regression,0.895,0.8941176470588236,0.9806451612903225,0.9353846153846154,0.7903225806451613
1,0.2,1000.0,10,Unbalanced,Decision Tree,0.845,0.8875,0.9161290322580645,0.9015873015873015,0.7580645161290323
2,0.2,1000.0,10,Unbalanced,Random Forest,0.9,0.9041916167664671,0.9741935483870968,0.937888198757764,0.8093189964157705
3,0.2,1000.0,10,Unbalanced,XGboost,0.88,0.8922155688622755,0.9612903225806452,0.9254658385093169,0.7806451612903226
4,0.2,1000.0,10,ADASYN,Logistic Regression,0.83,0.935251798561151,0.8387096774193549,0.8843537414965986,0.8193548387096775
5,0.2,1000.0,10,ADASYN,Decision Tree,0.81,0.8874172185430463,0.864516129032258,0.8758169934640523,0.7433691756272401
6,0.2,1000.0,10,ADASYN,Random Forest,0.86,0.9150326797385621,0.9032258064516129,0.9090909090909091,0.807168458781362
7,0.2,1000.0,10,ADASYN,XGboost,0.835,0.9066666666666666,0.8774193548387097,0.8918032786885245,0.7831541218637994
8,0.2,1000.0,10,RandomOverSampler,Logistic Regression,0.895,0.9294871794871795,0.9354838709677419,0.932475884244373,0.8455197132616488
9,0.2,1000.0,10,RandomOverSampler,Decision Tree,0.835,0.8910256410256411,0.896774193548387,0.8938906752411575,0.7594982078853046
10,0.2,1000.0,10,RandomOverSampler,Random Forest,0.895,0.9085365853658537,0.9612903225806452,0.9341692789968652,0.8139784946236561
11,0.2,1000.0,10,RandomOverSampler,XGboost,0.875,0.9012345679012346,0.9419354838709677,0.9211356466876971,0.793189964157706
12,0.2,1000.0,10,SMOTE,Logistic Regression,0.9,0.9299363057324841,0.9419354838709677,0.9358974358974359,0.8487455197132616
13,0.2,1000.0,10,SMOTE,Decision Tree,0.87,0.9161290322580645,0.9161290322580645,0.9161290322580645,0.8136200716845878
14,0.2,1000.0,10,SMOTE,Random Forest,0.89,0.9182389937106918,0.9419354838709677,0.9299363057324841,0.8265232974910395
15,0.2,1000.0,10,SMOTE,XGboost,0.865,0.9050632911392406,0.9225806451612903,0.9137380191693291,0.7946236559139785
16,0.2,1000.0,10,BorderlineSMOTE,Logistic Regression,0.845,0.9366197183098591,0.8580645161290322,0.8956228956228957,0.8290322580645161
17,0.2,1000.0,10,BorderlineSMOTE,Decision Tree,0.81,0.8926174496644296,0.8580645161290322,0.875,0.7512544802867382
18,0.2,1000.0,10,BorderlineSMOTE,Random Forest,0.875,0.922077922077922,0.9161290322580645,0.919093851132686,0.824731182795699
19,0.2,1000.0,10,BorderlineSMOTE,XGboost,0.86,0.9096774193548387,0.9096774193548387,0.9096774193548387,0.7992831541218638
