,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,10,ADASYN,Logistic Regression,0.725,0.927536231884058,0.7398843930635838,0.8231511254019291,0.6847570113466068
1,0.1,1000.0,10,ADASYN,Decision Tree,0.76,0.8834355828220859,0.8323699421965318,0.8571428571428572,0.564333119246414
2,0.1,1000.0,10,ADASYN,Random Forest,0.825,0.9058823529411765,0.8901734104046243,0.8979591836734694,0.6487904089060159
3,0.1,1000.0,10,ADASYN,XGboost,0.815,0.9047619047619048,0.8786127167630058,0.8914956011730206,0.6430100620852066
4,0.1,1000.0,10,ADASYN,Lightgbm,0.81,0.8947368421052632,0.884393063583815,0.8895348837209303,0.6088631984585742
5,0.1,1000.0,10,RandomOverSampler,Logistic Regression,0.885,0.9310344827586207,0.9364161849710982,0.9337175792507204,0.745985870263327
6,0.1,1000.0,10,RandomOverSampler,Decision Tree,0.8,0.8888888888888888,0.8786127167630058,0.8837209302325582,0.587454506529651
7,0.1,1000.0,10,RandomOverSampler,Random Forest,0.885,0.898936170212766,0.976878612716763,0.9362880886426593,0.6365874545065296
8,0.1,1000.0,10,RandomOverSampler,XGboost,0.875,0.9065934065934066,0.953757225433526,0.9295774647887324,0.6620637979019481
9,0.1,1000.0,10,RandomOverSampler,Lightgbm,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
10,0.1,1000.0,10,SMOTE,Logistic Regression,0.885,0.9261363636363636,0.9421965317919075,0.9340974212034383,0.7303575251552131
11,0.1,1000.0,10,SMOTE,Decision Tree,0.825,0.9207317073170732,0.8728323699421965,0.8961424332344214,0.6956754442303577
12,0.1,1000.0,10,SMOTE,Random Forest,0.865,0.9101123595505618,0.9364161849710982,0.9230769230769231,0.6719117961892529
13,0.1,1000.0,10,SMOTE,XGboost,0.855,0.9044943820224719,0.930635838150289,0.9173789173789175,0.6505031042603298
14,0.1,1000.0,10,SMOTE,Lightgbm,0.845,0.898876404494382,0.9248554913294798,0.9116809116809117,0.6290944123314066
15,0.1,1000.0,10,BorderlineSMOTE,Logistic Regression,0.72,0.927007299270073,0.7341040462427746,0.8193548387096773,0.6818668379362022
