,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,10,ADASYN,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
1,0.1,1000.0,10,ADASYN,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
2,0.1,1000.0,10,ADASYN,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
3,0.1,1000.0,10,ADASYN,XGboost,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
4,0.1,1000.0,10,ADASYN,Lightgbm,0.875,0.9021739130434783,0.9595375722543352,0.9299719887955181,0.6464354527938343
5,0.1,1000.0,10,RandomOverSampler,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
6,0.1,1000.0,10,RandomOverSampler,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
7,0.1,1000.0,10,RandomOverSampler,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
8,0.1,1000.0,10,RandomOverSampler,XGboost,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
9,0.1,1000.0,10,RandomOverSampler,Lightgbm,0.875,0.9021739130434783,0.9595375722543352,0.9299719887955181,0.6464354527938343
10,0.1,1000.0,10,SMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
11,0.1,1000.0,10,SMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
12,0.1,1000.0,10,SMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
13,0.1,1000.0,10,SMOTE,XGboost,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
14,0.1,1000.0,10,SMOTE,Lightgbm,0.875,0.9021739130434783,0.9595375722543352,0.9299719887955181,0.6464354527938343
15,0.1,1000.0,10,BorderlineSMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
16,0.1,1000.0,10,BorderlineSMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
17,0.1,1000.0,10,BorderlineSMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
18,0.1,1000.0,10,BorderlineSMOTE,XGboost,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
19,0.1,1000.0,10,BorderlineSMOTE,Lightgbm,0.875,0.9021739130434783,0.9595375722543352,0.9299719887955181,0.6464354527938343
20,0.1,1000.0,10,SVMSMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
21,0.1,1000.0,10,SVMSMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
22,0.1,1000.0,10,SVMSMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
23,0.1,1000.0,10,SVMSMOTE,XGboost,0.87,0.893048128342246,0.9653179190751445,0.9277777777777777,0.6122885891672019
24,0.1,1000.0,10,SVMSMOTE,Lightgbm,0.875,0.9021739130434783,0.9595375722543352,0.9299719887955181,0.6464354527938343
25,0.1,1000.0,20,ADASYN,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
26,0.1,1000.0,20,ADASYN,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
27,0.1,1000.0,20,ADASYN,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
28,0.1,1000.0,20,ADASYN,XGboost,0.885,0.8972972972972973,0.9764705882352941,0.9352112676056339,0.6715686274509804
29,0.1,1000.0,20,ADASYN,Lightgbm,0.88,0.8924731182795699,0.9764705882352941,0.9325842696629214,0.6549019607843137
30,0.1,1000.0,20,RandomOverSampler,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
31,0.1,1000.0,20,RandomOverSampler,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
32,0.1,1000.0,20,RandomOverSampler,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
33,0.1,1000.0,20,RandomOverSampler,XGboost,0.885,0.8972972972972973,0.9764705882352941,0.9352112676056339,0.6715686274509804
34,0.1,1000.0,20,RandomOverSampler,Lightgbm,0.88,0.8924731182795699,0.9764705882352941,0.9325842696629214,0.6549019607843137
35,0.1,1000.0,20,SMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
36,0.1,1000.0,20,SMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
37,0.1,1000.0,20,SMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
38,0.1,1000.0,20,SMOTE,XGboost,0.885,0.8972972972972973,0.9764705882352941,0.9352112676056339,0.6715686274509804
39,0.1,1000.0,20,SMOTE,Lightgbm,0.88,0.8924731182795699,0.9764705882352941,0.9325842696629214,0.6549019607843137
40,0.1,1000.0,20,BorderlineSMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
41,0.1,1000.0,20,BorderlineSMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
42,0.1,1000.0,20,BorderlineSMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
43,0.1,1000.0,20,BorderlineSMOTE,XGboost,0.885,0.8972972972972973,0.9764705882352941,0.9352112676056339,0.6715686274509804
44,0.1,1000.0,20,BorderlineSMOTE,Lightgbm,0.88,0.8924731182795699,0.9764705882352941,0.9325842696629214,0.6549019607843137
45,0.1,1000.0,20,SVMSMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
46,0.1,1000.0,20,SVMSMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
47,0.1,1000.0,20,SVMSMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
48,0.1,1000.0,20,SVMSMOTE,XGboost,0.885,0.8972972972972973,0.9764705882352941,0.9352112676056339,0.6715686274509804
49,0.1,1000.0,20,SVMSMOTE,Lightgbm,0.88,0.8924731182795699,0.9764705882352941,0.9325842696629214,0.6549019607843137
50,0.1,1000.0,100,ADASYN,Logistic Regression,0.935,0.9402173913043478,0.9885714285714285,0.9637883008356546,0.7742857142857142
51,0.1,1000.0,100,ADASYN,Decision Tree,0.81,0.8959537572254336,0.8857142857142857,0.8908045977011495,0.5828571428571429
52,0.1,1000.0,100,ADASYN,Random Forest,0.9,0.8974358974358975,1.0,0.945945945945946,0.6
53,0.1,1000.0,100,ADASYN,XGboost,0.915,0.9157894736842105,0.9942857142857143,0.9534246575342464,0.6771428571428572
54,0.1,1000.0,100,ADASYN,Lightgbm,0.925,0.9210526315789473,1.0,0.958904109589041,0.7
55,0.1,1000.0,100,RandomOverSampler,Logistic Regression,0.935,0.9402173913043478,0.9885714285714285,0.9637883008356546,0.7742857142857142
56,0.1,1000.0,100,RandomOverSampler,Decision Tree,0.81,0.8959537572254336,0.8857142857142857,0.8908045977011495,0.5828571428571429
57,0.1,1000.0,100,RandomOverSampler,Random Forest,0.9,0.8974358974358975,1.0,0.945945945945946,0.6
58,0.1,1000.0,100,RandomOverSampler,XGboost,0.915,0.9157894736842105,0.9942857142857143,0.9534246575342464,0.6771428571428572
59,0.1,1000.0,100,RandomOverSampler,Lightgbm,0.925,0.9210526315789473,1.0,0.958904109589041,0.7
60,0.1,1000.0,100,SMOTE,Logistic Regression,0.935,0.9402173913043478,0.9885714285714285,0.9637883008356546,0.7742857142857142
61,0.1,1000.0,100,SMOTE,Decision Tree,0.81,0.8959537572254336,0.8857142857142857,0.8908045977011495,0.5828571428571429
62,0.1,1000.0,100,SMOTE,Random Forest,0.9,0.8974358974358975,1.0,0.945945945945946,0.6
63,0.1,1000.0,100,SMOTE,XGboost,0.915,0.9157894736842105,0.9942857142857143,0.9534246575342464,0.6771428571428572
64,0.1,1000.0,100,SMOTE,Lightgbm,0.925,0.9210526315789473,1.0,0.958904109589041,0.7
65,0.1,1000.0,100,BorderlineSMOTE,Logistic Regression,0.935,0.9402173913043478,0.9885714285714285,0.9637883008356546,0.7742857142857142
66,0.1,1000.0,100,BorderlineSMOTE,Decision Tree,0.81,0.8959537572254336,0.8857142857142857,0.8908045977011495,0.5828571428571429
67,0.1,1000.0,100,BorderlineSMOTE,Random Forest,0.9,0.8974358974358975,1.0,0.945945945945946,0.6
68,0.1,1000.0,100,BorderlineSMOTE,XGboost,0.915,0.9157894736842105,0.9942857142857143,0.9534246575342464,0.6771428571428572
69,0.1,1000.0,100,BorderlineSMOTE,Lightgbm,0.925,0.9210526315789473,1.0,0.958904109589041,0.7
70,0.1,1000.0,100,SVMSMOTE,Logistic Regression,0.935,0.9402173913043478,0.9885714285714285,0.9637883008356546,0.7742857142857142
71,0.1,1000.0,100,SVMSMOTE,Decision Tree,0.81,0.8959537572254336,0.8857142857142857,0.8908045977011495,0.5828571428571429
72,0.1,1000.0,100,SVMSMOTE,Random Forest,0.9,0.8974358974358975,1.0,0.945945945945946,0.6
73,0.1,1000.0,100,SVMSMOTE,XGboost,0.915,0.9157894736842105,0.9942857142857143,0.9534246575342464,0.6771428571428572
74,0.1,1000.0,100,SVMSMOTE,Lightgbm,0.925,0.9210526315789473,1.0,0.958904109589041,0.7
