,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,10,ADASYN,Logistic Regression,0.725,0.927536231884058,0.7398843930635838,0.8231511254019291,0.6847570113466068
1,0.1,1000.0,10,ADASYN,Decision Tree,0.76,0.8834355828220859,0.8323699421965318,0.8571428571428572,0.564333119246414
2,0.1,1000.0,10,ADASYN,Random Forest,0.825,0.9058823529411765,0.8901734104046243,0.8979591836734694,0.6487904089060159
3,0.1,1000.0,10,RandomOverSampler,Logistic Regression,0.885,0.9310344827586207,0.9364161849710982,0.9337175792507204,0.745985870263327
4,0.1,1000.0,10,RandomOverSampler,Decision Tree,0.8,0.8888888888888888,0.8786127167630058,0.8837209302325582,0.587454506529651
5,0.1,1000.0,10,RandomOverSampler,Random Forest,0.885,0.898936170212766,0.976878612716763,0.9362880886426593,0.6365874545065296
6,0.1,1000.0,10,SMOTE,Logistic Regression,0.885,0.9261363636363636,0.9421965317919075,0.9340974212034383,0.7303575251552131
7,0.1,1000.0,10,SMOTE,Decision Tree,0.825,0.9207317073170732,0.8728323699421965,0.8961424332344214,0.6956754442303577
8,0.1,1000.0,10,SMOTE,Random Forest,0.865,0.9101123595505618,0.9364161849710982,0.9230769230769231,0.6719117961892529
9,0.1,1000.0,10,BorderlineSMOTE,Logistic Regression,0.72,0.927007299270073,0.7341040462427746,0.8193548387096773,0.6818668379362022
10,0.1,1000.0,10,BorderlineSMOTE,Decision Tree,0.805,0.8850574712643678,0.8901734104046243,0.8876080691642652,0.5747163348319417
11,0.1,1000.0,10,BorderlineSMOTE,Random Forest,0.83,0.8971428571428571,0.9075144508670521,0.9022988505747127,0.6204238921001928
12,0.1,1000.0,10,SVMSMOTE,Logistic Regression,0.875,0.9352941176470588,0.9190751445086706,0.9271137026239068,0.7558338685506315
13,0.1,1000.0,10,SVMSMOTE,Decision Tree,0.775,0.8950617283950617,0.838150289017341,0.8656716417910448,0.6042603296938557
14,0.1,1000.0,10,SVMSMOTE,Random Forest,0.85,0.8994413407821229,0.930635838150289,0.9147727272727273,0.6319845857418112
15,0.1,1000.0,20,ADASYN,Logistic Regression,0.67,0.9482758620689655,0.6470588235294118,0.7692307692307692,0.7235294117647059
16,0.1,1000.0,20,ADASYN,Decision Tree,0.765,0.89171974522293,0.8235294117647058,0.8562691131498471,0.6284313725490196
17,0.1,1000.0,20,ADASYN,Random Forest,0.865,0.9085714285714286,0.9352941176470588,0.9217391304347827,0.7009803921568628
18,0.1,1000.0,20,RandomOverSampler,Logistic Regression,0.755,0.9481481481481482,0.7529411764705882,0.8393442622950821,0.7598039215686274
19,0.1,1000.0,20,RandomOverSampler,Decision Tree,0.81,0.888235294117647,0.888235294117647,0.888235294117647,0.6274509803921569
20,0.1,1000.0,20,RandomOverSampler,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
21,0.1,1000.0,20,SMOTE,Logistic Regression,0.785,0.9440559440559441,0.7941176470588235,0.8626198083067093,0.7637254901960784
22,0.1,1000.0,20,SMOTE,Decision Tree,0.8,0.9012345679012346,0.8588235294117647,0.8795180722891566,0.6627450980392158
23,0.1,1000.0,20,SMOTE,Random Forest,0.88,0.9147727272727273,0.9470588235294117,0.930635838150289,0.7235294117647059
24,0.1,1000.0,20,BorderlineSMOTE,Logistic Regression,0.735,0.9465648854961832,0.7294117647058823,0.823920265780731,0.7480392156862745
25,0.1,1000.0,20,BorderlineSMOTE,Decision Tree,0.795,0.8816568047337278,0.8764705882352941,0.8790560471976402,0.6049019607843138
26,0.1,1000.0,20,BorderlineSMOTE,Random Forest,0.87,0.9,0.9529411764705882,0.9257142857142857,0.6764705882352942
27,0.1,1000.0,20,SVMSMOTE,Logistic Regression,0.89,0.9404761904761905,0.9294117647058824,0.9349112426035503,0.7980392156862746
28,0.1,1000.0,20,SVMSMOTE,Decision Tree,0.825,0.9090909090909091,0.8823529411764706,0.8955223880597014,0.6911764705882353
29,0.1,1000.0,20,SVMSMOTE,Random Forest,0.895,0.907103825136612,0.9764705882352941,0.9405099150141644,0.7049019607843138
