,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,10,ADASYN,Logistic Regression,0.725,0.927536231884058,0.7398843930635838,0.8231511254019291,0.6847570113466068
1,0.1,1000.0,10,ADASYN,Decision Tree,0.76,0.8834355828220859,0.8323699421965318,0.8571428571428572,0.564333119246414
2,0.1,1000.0,10,ADASYN,Random Forest,0.825,0.9058823529411765,0.8901734104046243,0.8979591836734694,0.6487904089060159
3,0.1,1000.0,10,RandomOverSampler,Logistic Regression,0.885,0.9310344827586207,0.9364161849710982,0.9337175792507204,0.745985870263327
4,0.1,1000.0,10,RandomOverSampler,Decision Tree,0.8,0.8888888888888888,0.8786127167630058,0.8837209302325582,0.587454506529651
5,0.1,1000.0,10,RandomOverSampler,Random Forest,0.885,0.898936170212766,0.976878612716763,0.9362880886426593,0.6365874545065296
6,0.1,1000.0,10,SMOTE,Logistic Regression,0.885,0.9261363636363636,0.9421965317919075,0.9340974212034383,0.7303575251552131
7,0.1,1000.0,10,SMOTE,Decision Tree,0.825,0.9207317073170732,0.8728323699421965,0.8961424332344214,0.6956754442303577
8,0.1,1000.0,10,SMOTE,Random Forest,0.865,0.9101123595505618,0.9364161849710982,0.9230769230769231,0.6719117961892529
9,0.1,1000.0,10,BorderlineSMOTE,Logistic Regression,0.72,0.927007299270073,0.7341040462427746,0.8193548387096773,0.6818668379362022
10,0.1,1000.0,10,BorderlineSMOTE,Decision Tree,0.805,0.8850574712643678,0.8901734104046243,0.8876080691642652,0.5747163348319417
11,0.1,1000.0,10,BorderlineSMOTE,Random Forest,0.83,0.8971428571428571,0.9075144508670521,0.9022988505747127,0.6204238921001928
12,0.1,1000.0,10,SVMSMOTE,Logistic Regression,0.875,0.9352941176470588,0.9190751445086706,0.9271137026239068,0.7558338685506315
13,0.1,1000.0,10,SVMSMOTE,Decision Tree,0.775,0.8950617283950617,0.838150289017341,0.8656716417910448,0.6042603296938557
14,0.1,1000.0,10,SVMSMOTE,Random Forest,0.85,0.8994413407821229,0.930635838150289,0.9147727272727273,0.6319845857418112
15,0.1,1000.0,20,ADASYN,Logistic Regression,0.67,0.9482758620689655,0.6470588235294118,0.7692307692307692,0.7235294117647059
