,class_ratio,n_samples,n_features,balancing_method,classifier,accuracy,precision,recall,F1 score,ROC AUC Score
0,0.1,1000.0,10,ADASYN,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
1,0.1,1000.0,10,ADASYN,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
2,0.1,1000.0,10,ADASYN,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
3,0.1,1000.0,10,RandomOverSampler,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
4,0.1,1000.0,10,RandomOverSampler,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
5,0.1,1000.0,10,RandomOverSampler,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
6,0.1,1000.0,10,SMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
7,0.1,1000.0,10,SMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
8,0.1,1000.0,10,SMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
9,0.1,1000.0,10,BorderlineSMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
10,0.1,1000.0,10,BorderlineSMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
11,0.1,1000.0,10,BorderlineSMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
12,0.1,1000.0,10,SVMSMOTE,Logistic Regression,0.895,0.9042553191489362,0.9826589595375722,0.9418282548476454,0.6579961464354529
13,0.1,1000.0,10,SVMSMOTE,Decision Tree,0.82,0.8870056497175142,0.9075144508670521,0.897142857142857,0.5833868550631557
14,0.1,1000.0,10,SVMSMOTE,Random Forest,0.89,0.8952879581151832,0.9884393063583815,0.9395604395604397,0.6238492828088205
15,0.1,1000.0,20,ADASYN,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
16,0.1,1000.0,20,ADASYN,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
17,0.1,1000.0,20,ADASYN,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
18,0.1,1000.0,20,RandomOverSampler,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
19,0.1,1000.0,20,RandomOverSampler,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
20,0.1,1000.0,20,RandomOverSampler,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
21,0.1,1000.0,20,SMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
22,0.1,1000.0,20,SMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
23,0.1,1000.0,20,SMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
24,0.1,1000.0,20,BorderlineSMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
25,0.1,1000.0,20,BorderlineSMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
26,0.1,1000.0,20,BorderlineSMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
27,0.1,1000.0,20,SVMSMOTE,Logistic Regression,0.89,0.8894736842105263,0.9941176470588236,0.938888888888889,0.6470588235294118
28,0.1,1000.0,20,SVMSMOTE,Decision Tree,0.81,0.8975903614457831,0.8764705882352941,0.8869047619047619,0.6549019607843137
29,0.1,1000.0,20,SVMSMOTE,Random Forest,0.9,0.9032258064516129,0.9882352941176471,0.943820224719101,0.6941176470588235
